"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CMA1",-1.5590921165015,16.3915140291872,-5.36089293745572,0.000448354538240888,0.999300903283301,-3.30779768341787
"CPA3",-1.55720746947717,17.7229571802336,-5.00446407410571,0.000723779675962981,0.999300903283301,-3.36678307004534
"CDKN1C",-0.674536114835641,12.1535753119687,-4.60552350763817,0.00171811886318947,0.999300903283301,-3.64812935131973
"PLIN1",-1.88537892516325,12.2810736527545,-4.31970153018162,0.00191223808679514,0.999300903283301,-3.50312827824405
"SELENOO",0.439354717974275,11.1059229778984,4.21504935233887,0.00223161914486464,0.999300903283301,-3.52699637147636
"SENP6",-0.866354215055173,11.2703025889176,-4.39581038957091,0.00226948744238381,0.999300903283301,-3.68154079643957
"TUSC2",-0.707925325182126,13.9290778821899,-4.06020575261441,0.00281258043580184,0.999300903283301,-3.56393026802252
"DLG5",-0.651813925096846,13.6223696787155,-4.05407763196488,0.00283864934837461,0.999300903283301,-3.5654326578383
"CPXM1",0.443972927039272,13.2732881448315,4.04843987744668,0.00286285877305744,0.999300903283301,-3.56681760274299
"TIMM8A",-0.513711738852775,13.2913087050322,-4.04584062510867,0.00287409408040409,0.999300903283301,-3.56745701982421
"PSEN2",-0.637836202543358,13.1434957146892,-4.04303677090905,0.00367803307283951,0.999300903283301,-3.74407478216739
"EDF1",-0.579352307141125,15.34939314167,-3.83478016489985,0.00396246872115937,0.999300903283301,-3.62129941774063
"MTSS1",-0.421608097571376,12.9689243240888,-3.78723807644219,0.00426322706370221,0.999300903283301,-3.63396155933756
"NDUFA4L2",-0.6556491648248,11.9980889700623,-3.69904239328972,0.00488671964514102,0.999300903283301,-3.65798309152949
"NOC3L",0.458537291641177,13.1272128051729,3.65317172294671,0.00524829565845073,0.999300903283301,-3.67075277882485
"GSTM5",-1.4461435119812,14.7387224536315,-3.62666607536622,0.0054699529528449,0.999300903283301,-3.67821837124116
"SETD9",0.485018514285274,12.2719811095276,3.58858416361263,0.00580578264272356,0.999300903283301,-3.68905643086216
"C1orf174",-0.662196287079727,11.8367476040192,-3.58755921100676,0.00581511490789667,0.999300903283301,-3.68934995948778
"MYH11",-0.425644720899825,15.2567790260601,-3.5766864292836,0.0059150869099888,0.999300903283301,-3.69246964857491
"FAM107B",-0.527735007909699,11.8743888467225,-3.55161030822995,0.0061525893743587,0.999300903283301,-3.69970591649649
"ACTA1",-0.850986548780352,18.4954742984042,-3.53144594476373,0.00635081539340647,0.999300903283301,-3.70556663172013
"CNN1",-0.795878247582523,14.3537384429363,-3.42998580124002,0.00745476954277406,0.999300903283301,-3.73562433846644
"LOXL2",0.555117795191876,11.9666530559854,3.42973890101392,0.0074576882021543,0.999300903283301,-3.73569864374815
"ADGRL3",0.376081604938527,13.563015853962,3.41654046741754,0.00761545929266958,0.999300903283301,-3.73967897021287
"PCGF5",0.4282247065434,11.633794276923,3.41642724710603,0.00761682767655973,0.999300903283301,-3.73971318455543
"TMSB4X",-0.692315821778525,17.60959302438,-3.40221871949161,0.00779060573316997,0.999300903283301,-3.74401633192071
"CYP4V2",0.792651528703701,11.8297068413557,3.39281716396266,0.00790786200418373,0.999300903283301,-3.74687395126603
"PRMT7",0.450598917831151,11.6307914221192,3.39164614926473,0.00792259530563079,0.999300903283301,-3.74723045767453
"EIF4H",-1.08861986290978,15.3729374610085,-3.34593022635342,0.00852072809614625,0.999300903283301,-3.76124782879479
"SHISA3",-1.07903105111743,11.7991382216968,-3.34156321869121,0.00858027521666445,0.999300903283301,-3.76259699413877
"LY6D",-0.945738250290976,14.1682981938566,-3.33639230201264,0.00865134487798111,0.999300903283301,-3.76419681446329
"LRRC45",0.505691924723044,8.82207738812315,3.42683167443884,0.00892291230690551,0.999300903283301,-3.87496936278243
"TFAP4",0.508038505588802,12.3366563012627,3.29882667157086,0.00918639612723715,0.999300903283301,-3.77589376457509
"IGHM",-0.859438933061202,18.7503738769577,-3.29518231386993,0.00924010309940475,0.999300903283301,-3.77703549919826
"CLEC1A",-0.732744770338051,13.4555465395096,-3.28914599302271,0.00932977966641071,0.999300903283301,-3.77892932234451
"ISCU",-0.346285479904825,16.1879884397572,-3.24137857621015,0.0100720978249318,0.999300903283301,-3.7940351079603
"NDUFB4",-0.501632345195349,15.1555858918975,-3.20969012438432,0.0105981426085649,0.999300903283301,-3.80417293046046
"PANK1",0.330729987906526,12.0950388939616,3.19719845848476,0.0108132641063915,0.999300903283301,-3.80819484388202
"APOH",-0.833267657036728,20.3003276461971,-3.19655265863989,0.0108245077777288,0.999300903283301,-3.80840316313326
"FILIP1",-0.358075267443024,14.1124206745888,-3.1922028750252,0.0109005556280229,0.999300903283301,-3.80980730198542
"MASP1",-0.864637182645826,12.1918001173567,-3.15701556534679,0.0115364436151439,0.999300903283301,-3.82123026638704
"PON2",0.542300642538677,17.7711909604027,3.15327023157859,0.0116063508390203,0.999300903283301,-3.82245285309237
"CDYL",0.337213405184254,12.9927548153321,3.13781742975617,0.0118994430119393,0.999300903283301,-3.82751076309463
"PHF10",0.683636777023574,10.4566947180115,3.13553591210586,0.0119433601077714,0.999300903283301,-3.82825939646953
"CDC42EP4",-0.6730026016489,14.7507603579535,-3.1216800147218,0.0122136941445134,0.999300903283301,-3.83281620297998
"TUBAL3",0.44028697599415,14.4087381001404,3.1113809491763,0.0124187217360583,0.999300903283301,-3.83621469145067
"BRSK1",-0.493351371787501,11.1500726681012,-3.09473263275886,0.0127576903954674,0.999300903283301,-3.84172886829805
"CUSTOS",-0.452348097847675,11.095389398725,-3.09303227245468,0.0127928437543832,0.999300903283301,-3.84229348159984
"RNF13",-0.594594301521674,13.8115972775534,-3.0905632770936,0.0128440658789662,0.999300903283301,-3.84311379477137
"GGT1",0.448555799900049,15.984889641504,3.08646463685682,0.0129295643418126,0.999300903283301,-3.84447678079164
"SRPX",0.540004630880325,15.2235639470142,3.08355158190745,0.0129906878752252,0.999300903283301,-3.84544643837018
"ATP5MJ",-0.484208953408311,14.205334554186,-3.17154055186673,0.0130719106528767,0.999300903283301,-3.93814087251635
"DLC1",-0.4620269389473,10.923455090454,-3.06856230830977,0.0133099453726741,0.999300903283301,-3.85044810567274
"NOP16",0.383268514616173,12.7598707736743,3.06820371829916,0.0133176812832721,0.999300903283301,-3.85056801198253
"RAD17",0.336868389164623,11.3774666517509,3.05600560401769,0.0135836104127801,0.999300903283301,-3.85465382232865
"TRARG1",-0.476142021186273,13.1159185079687,-3.04305816571919,0.0138718641990426,0.999300903283301,-3.85900541825032
"LONRF2",-0.513891526261649,13.0199223022436,-3.04240711354541,0.0138865240356331,0.999300903283301,-3.85922463670399
"SNAPIN",-0.582248154452525,13.5867895808142,-3.04032046213755,0.0139336170085104,0.999300903283301,-3.85992750064315
"NECAB2",-0.877359944988177,10.9257802348374,-3.12366107288687,0.0140542304016412,0.999300903283301,-3.95060072322418
"CLYBL",-0.699051666522976,14.1150118908289,-3.03194432795711,0.0141243153543239,0.999300903283301,-3.86275287272609
"HNRNPA1",-0.48186347943555,14.0371258078564,-3.03126768494826,0.0141398371488821,0.999300903283301,-3.86298138993893
"HMGCL",-0.352885396415948,14.7987765433297,-3.02914376494332,0.0141886727109413,0.999300903283301,-3.86369895345529
"APC2",-0.535530637335629,10.5480213864388,-3.07777321218443,0.0150683862434067,0.999300903283301,-3.96272494767515
"TSPAN7",-0.318488087166976,13.2407908952222,-2.99190902480586,0.0150735601534295,0.999300903283301,-3.87634476732288
"FABP4",-0.988966997678624,17.1996990553973,-2.98217787566022,0.0153140346967826,0.999300903283301,-3.87967024201103
"CHST15",0.697170468933349,10.9620983312231,3.06084534818201,0.0154615698945961,0.999300903283301,-3.96724268114965
"TRMU",-0.376039062301755,12.4113317307545,-2.97125303194838,0.0155887047886895,0.999300903283301,-3.88341374135769
"GUCY1B1",-0.425663736009421,11.0941594384604,-2.96070964445671,0.0158585781701019,0.999300903283301,-3.88703663300222
