"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IPO11",0.774394142199352,12.4187946863534,6.2584476657661,0.000164947287895199,0.491983206336684,-2.98346703886465
"CHAD",2.74587804793279,13.2896699610216,8.25271197485741,0.000208339716041574,0.491983206336684,-3.76708601547133
"SNX24",0.977077043319053,11.3053143597595,5.89383701248,0.000254734635125624,0.491983206336684,-3.0347083551769
"CFHR2",0.856469729122281,13.4413434273055,6.27922760741386,0.000268014216643572,0.491983206336684,-3.28923872814399
"TUSC3",-0.747950715417605,12.5539792267989,-5.70205962243959,0.000322400528398876,0.491983206336684,-3.06432532115736
"ALDH1A2",-1.1971698137114,11.2029038172918,-4.67930162601803,0.00123444316020168,0.815633270609758,-3.26034363478442
"OSTC",0.892610369300979,12.6385957607906,4.67296892912901,0.00124533019400288,0.815633270609758,-3.26178897969338
"MAVS",-0.483071414010197,15.0051290513492,-4.6567239683374,0.0012737333672129,0.815633270609758,-3.26551132863718
"KRT2",-0.889108608394853,15.680462612122,-4.61426739943855,0.00135130815204765,0.815633270609758,-3.27534020989334
"MIPOL1",1.50969036259616,13.6063420280962,4.86127939321847,0.00135981101892609,0.815633270609758,-3.46607607120282
"KRT1",-0.628110995364857,17.0347375689195,-4.53280077273081,0.00151475344435591,0.815633270609758,-3.29461320548133
"FAM162A",-0.493318415506728,15.0430922148413,-4.49210158261323,0.00160425189796871,0.815633270609758,-3.3044487093201
"NR2C2AP",0.537716380233226,12.184703399294,4.45044392687752,0.00170176250346542,0.815633270609758,-3.31466120942332
"CBX1",-0.557307733504079,15.7052606397441,-4.3671717766554,0.00191625871087235,0.815633270609758,-3.33552401212084
"EVA1B",-1.10455438520785,11.5632851000494,-4.36616083859292,0.00191903422789584,0.815633270609758,-3.33578100946868
"PON3",1.29513802425081,14.6483973870696,4.35593454139177,0.00194735364518091,0.815633270609758,-3.33838576872094
"CFH",0.697513050325327,18.9043778808149,4.32585741131922,0.0020332695670608,0.815633270609758,-3.34610040268443
"ADGRA2",-0.967337780489222,11.9119962222955,-4.12274615031578,0.00273085347547856,0.815633270609758,-3.40034221128099
"NAGLU",0.588442816961225,13.1308933017379,4.12132492512609,0.00273655270057167,0.815633270609758,-3.40073520596432
"TBC1D8B",0.71214536625796,11.8383878510529,4.28707401143437,0.00284261843649546,0.815633270609758,-3.56888516034995
"SMAP",-0.389196071104829,13.528513083754,-4.07023850789203,0.00295006796784365,0.815633270609758,-3.41498845312238
"CTSC",0.779478994380122,13.7077679184028,4.0319879854236,0.00312152627542716,0.815633270609758,-3.42582336584842
"CCIN",1.11662375576373,13.2974131744748,4.45162245175029,0.00321249405062713,0.815633270609758,-3.725391009464
"LCN2",0.905463583524522,13.0474792481667,4.00732753648695,0.00323766761637309,0.815633270609758,-3.43288338224769
"ZNF609",1.55256711011625,12.9179666733351,6.56923961246605,0.00339318456259186,0.815633270609758,-4.274950353312
"C1QC",0.586638703798123,18.5796934542678,3.96281593395464,0.00345909252442895,0.815633270609758,-3.4457759804032
"WDR73",0.602109266137802,11.2085363306593,3.81700234715069,0.00430435635566841,0.815633270609758,-3.48937862289659
"MYH7",4.4959388407595,14.8798343142628,3.97313086765812,0.00434268247870394,0.815633270609758,-3.63524892250649
"KRT10",-0.742233552842679,16.0092225967758,-3.79624527474266,0.00444146348491708,0.815633270609758,-3.49575859634383
"AK2",-0.478976837673546,16.0498722083208,-3.75948125691642,0.00469577007271029,0.815633270609758,-3.50716570958907
"FCN2",0.823948994700174,12.6689852350454,3.75803176063854,0.004706106988112,0.815633270609758,-3.50761827553851
"IRF2BP2",-0.668493516016678,13.7347165708024,-3.72063002457953,0.00498132441563473,0.815633270609758,-3.5193701814386
"CEBPB",-0.671549149189071,13.1401920219697,-3.71211483266791,0.0050463284991069,0.815633270609758,-3.52206574302076
"ESYT2",-0.573754317746076,12.7658669764189,-3.69826853097247,0.00515394989016439,0.815633270609758,-3.5264648237694
"ADAMTSL5",-0.985162275727024,15.5420927661616,-3.69109275173866,0.00521067516921225,0.815633270609758,-3.5287523883359
"BCCIP",0.488096491141878,13.3344646687696,3.68402948696376,0.00526715504202376,0.815633270609758,-3.53100926695191
"NDUFA6",-0.497530547631255,14.6218780406425,-3.6817041087554,0.00528589052441404,0.815633270609758,-3.53175340570195
"EDIL3",-0.4902973565541,13.5138538198812,-3.68155483169505,0.00528709564404419,0.815633270609758,-3.53180119455902
"NQO2",0.581032914225304,16.3951322725707,3.67991417716443,0.00530035983693883,0.815633270609758,-3.53232657754568
"SLC41A3",-0.410763681721697,12.8184691898034,-3.65407248659462,0.00551397881980422,0.815633270609758,-3.54063850117746
"CDKN1C",-0.711447785661523,12.1101817441856,-3.61382866965594,0.00586492058313577,0.815633270609758,-3.55372070068051
"PTGES",-0.803357444216381,14.981582651169,-3.60498987551944,0.00594510502028658,0.815633270609758,-3.55661652175012
"SCAF1",-0.463003832820549,12.8732916789459,-3.60159029397827,0.00597625233771937,0.815633270609758,-3.55773248254066
"IGLC2",0.715458733870175,20.8493006667546,3.56087165956576,0.00636296368517586,0.815633270609758,-3.57119278061443
"RMDN2",-0.48326245685125,13.3752808912872,-3.5476000167642,0.00649462557964996,0.815633270609758,-3.57561747287282
"UBAP2",-0.445007578766996,12.6617774824504,-3.5425893872144,0.0065450760146211,0.815633270609758,-3.57729279377609
"COMP",1.14373992237496,13.8608472410021,3.67501413871108,0.00658143634481091,0.815633270609758,-3.70584846772161
"TFAM",-0.382281092424199,15.8189998018624,-3.52203365965813,0.00675639683932474,0.815633270609758,-3.58419326989062
"VSIR",-0.462772981008525,13.2472484240079,-3.51401597532232,0.006840754658162,0.815633270609758,-3.58689681830271
"TMEM259",0.549847085123789,13.3573404642926,3.64693859666128,0.00684872555328419,0.815633270609758,-3.71290178152528
"AGRN",-0.722010054217151,17.6619631673954,-3.50964081669699,0.00688725370171671,0.815633270609758,-3.58837496696102
"GJA1",-1.58045328077187,14.0438838550218,-3.50558629267431,0.0069306414708862,0.815633270609758,-3.58974658850624
"DHX40",-0.470842875509375,10.8368995083643,-3.4781930666481,0.00723140101345303,0.815633270609758,-3.59905895181566
"TUSC2",0.803864989760598,13.2233775952878,3.46966233431701,0.00732783573431034,0.815633270609758,-3.60197515146259
"ERMP1",-0.531758876077669,15.5042067190058,-3.42152677123325,0.00789784882210834,0.815633270609758,-3.61857427284671
"DDR1",0.777472050982205,13.5363883908691,3.41764309111242,0.00794582059975234,0.815633270609758,-3.61992421461771
"SPTBN5",-0.775064553408347,13.8370131393047,-3.41172455458986,0.00801951494841315,0.815633270609758,-3.62198453161702
"STAU2",-0.65500072304269,9.96888278300958,-3.40984873531032,0.00804302070194286,0.815633270609758,-3.62263830234734
"CBWD1",0.488466276928724,12.1521987269396,3.40201576001828,0.00814195740188635,0.815633270609758,-3.62537232252322
"CFHR1",2.06727326913316,13.3477875566611,4.35215544839036,0.00815629261294774,0.815633270609758,-4.11840503586163
"IRAG1",-0.663229942228424,11.8253134584381,-3.36618853212141,0.00861099010585504,0.815633270609758,-3.63796036614259
"PGRMC2",-0.439881483787655,15.0699663399945,-3.3656798592405,0.00861784930938083,0.815633270609758,-3.63814007058872
"DDC",2.1274815066469,12.1667632465286,6.69479560219976,0.00864001205804135,0.815633270609758,-4.40920317965586
"PRMT3",0.551706865594852,12.260148604285,3.36336634275254,0.00864911809026055,0.815633270609758,-3.6389577382621
"MSTO1",0.532834599591231,13.4188186607943,3.35871768888635,0.00871230700789853,0.815633270609758,-3.64060243193418
"C1orf21",-0.569820115826548,11.7064146809462,-3.33742044050258,0.00900802881227046,0.815633270609758,-3.6481667141063
"UQCR10",-0.37858505123805,14.8133430233596,-3.33335201628456,0.00906570373661743,0.815633270609758,-3.64961719829837
"FEM1B",-0.71920398834618,11.4045555147093,-3.84294211694208,0.00917547756142513,0.815633270609758,-4.0108293257587
"CYP4X1",-0.809693083827,14.4232983248816,-3.3254810380262,0.00917838197599004,0.815633270609758,-3.65242836437959
"CETN2",-0.467269467445027,14.226391383765,-3.3104619920863,0.0093974651450812,0.815633270609758,-3.65781074593792
"COCH",-1.1845620173111,11.899173049711,-4.872975261895,0.00948417398792591,0.815633270609758,-4.30279574254151
"NAMPT",0.673081372328173,17.4312882494576,3.29698235517675,0.00959874049809812,0.815633270609758,-3.662661829893
"YTHDF2",-0.410650850659227,12.5692788350415,-3.28276287086429,0.00981594310166268,0.815633270609758,-3.66780006402008
"EMC10",-0.412511389215727,12.8552564416622,-3.25427217573669,0.0102666958458265,0.815633270609758,-3.67815973958536
"CHL1",0.703865180260451,16.4282551872808,3.24891434888195,0.0103538438070353,0.815633270609758,-3.68011754179159
"EFHD1",-0.644570954013627,14.1064606399404,-3.23738148121395,0.0105440555563764,0.815633270609758,-3.68434208001232
"IGKC",0.595139456224697,21.7980962980417,3.23530735162424,0.0105786483219228,0.815633270609758,-3.685103336567
"GPRC5C",-1.4562567955304,11.9438517948912,-3.21084140649013,0.0109957236746484,0.815633270609758,-3.69411729094587
"SPATS2",-0.844258521948165,10.1984088794314,-4.02238806123045,0.0110866549210262,0.815633270609758,-4.14103951026307
"AUH",-0.441132868855448,14.2629134746649,-3.20535908000718,0.0110915055376362,0.815633270609758,-3.69614581692417
"IGHG2",0.711173516201022,21.6290469593028,3.20255995470842,0.0111407432106655,0.815633270609758,-3.69718275114419
"SEC14L4",1.49628517621264,10.5822243834742,4.01419796906126,0.0111737272344684,0.815633270609758,-4.14164953348938
"CD300A",1.00537092187225,9.97958930922892,3.18754616193678,0.0114087462290709,0.815633270609758,-3.70275872106194
"RAB11FIP1",-0.325047315542776,13.656257742983,-3.18094338727706,0.0115287211718502,0.815633270609758,-3.70521845498696
"PIGX",-0.604718810217857,11.4778969852679,-3.27364560930547,0.0117463798484007,0.815633270609758,-3.8136626236775
"S100A8",1.69299952080038,16.4036603651781,3.16330919882534,0.0118556063406832,0.815633270609758,-3.71181024945251
"DGLUCY",2.0456827145278,14.4498899503271,3.15758560805801,0.0119637608900069,0.815633270609758,-3.71395681026151
"PON1",0.832576051135627,15.3980117735634,3.14336031500743,0.0122370227868415,0.815633270609758,-3.71930674937666
"NUP50",-0.344640595124973,13.6721056018581,-3.13332399201192,0.0124337047998606,0.815633270609758,-3.72309406318654
"PODXL",-0.441731426441574,14.6543769455912,-3.13303890615332,0.012439339265763,0.815633270609758,-3.72320179778559
"TOP2A",-0.721716311502071,12.8043215210525,-3.36246775022134,0.0126428213752064,0.815633270609758,-3.97489181671899
"BZW2",0.499809403981498,14.6868342783303,3.12233541898895,0.0126528103920965,0.815633270609758,-3.72725283645484
"MRPS17",-0.390471933525953,13.2708261896101,-3.11661229562387,0.012768506859185,0.815633270609758,-3.72942384030943
"LYVE1",0.957171305465028,13.9259247642902,3.11139100688689,0.0128750144656139,0.815633270609758,-3.73140746965286
