HGNC symbol,HGNC name
HTR1A,5-hydroxytryptamine receptor 1A
HTR1B,5-hydroxytryptamine receptor 1B
HTR1D,5-hydroxytryptamine receptor 1D
HTR1E,5-hydroxytryptamine receptor 1E
HTR1F,5-hydroxytryptamine receptor 1F
HTR2A,5-hydroxytryptamine receptor 2A
HTR2B,5-hydroxytryptamine receptor 2B
HTR2C,5-hydroxytryptamine receptor 2C
HTR4,5-hydroxytryptamine receptor 4
HTR5A,5-hydroxytryptamine receptor 5A
HTR5BP,"5-hydroxytryptamine receptor 5B, pseudogene"
HTR6,5-hydroxytryptamine receptor 6
HTR7,5-hydroxytryptamine receptor 7
CHRM1,cholinergic receptor muscarinic 1
CHRM2,cholinergic receptor muscarinic 2
CHRM3,cholinergic receptor muscarinic 3
CHRM4,cholinergic receptor muscarinic 4
CHRM5,cholinergic receptor muscarinic 5
ADORA1,adenosine A1 receptor
ADORA2A,adenosine A2a receptor
ADORA2B,adenosine A2b receptor
ADORA3,adenosine A3 receptor
ADGRA1,adhesion G protein-coupled receptor A1
ADGRA2,adhesion G protein-coupled receptor A2
ADGRA3,adhesion G protein-coupled receptor A3
ADGRB1,adhesion G protein-coupled receptor B1
ADGRB2,adhesion G protein-coupled receptor B2
ADGRB3,adhesion G protein-coupled receptor B3
CELSR1,cadherin EGF LAG seven-pass G-type receptor 1
CELSR2,cadherin EGF LAG seven-pass G-type receptor 2
CELSR3,cadherin EGF LAG seven-pass G-type receptor 3
ADGRD1,adhesion G protein-coupled receptor D1
ADGRD2,adhesion G protein-coupled receptor D2
ADGRE1,adhesion G protein-coupled receptor E1
ADGRE2,adhesion G protein-coupled receptor E2
ADGRE3,adhesion G protein-coupled receptor E3
ADGRE4P,"adhesion G protein-coupled receptor E4, pseudogene"
ADGRE5,adhesion G protein-coupled receptor E5
ADGRF1,adhesion G protein-coupled receptor F1
ADGRF2P,"adhesion G protein-coupled receptor F2, pseudogene"
ADGRF3,adhesion G protein-coupled receptor F3
ADGRF4,adhesion G protein-coupled receptor F4
ADGRF5,adhesion G protein-coupled receptor F5
ADGRG1,adhesion G protein-coupled receptor G1
ADGRG2,adhesion G protein-coupled receptor G2
ADGRG3,adhesion G protein-coupled receptor G3
ADGRG4,adhesion G protein-coupled receptor G4
ADGRG5,adhesion G protein-coupled receptor G5
ADGRG6,adhesion G protein-coupled receptor G6
ADGRG7,adhesion G protein-coupled receptor G7
ADGRL1,adhesion G protein-coupled receptor L1
ADGRL2,adhesion G protein-coupled receptor L2
ADGRL3,adhesion G protein-coupled receptor L3
ADGRL4,adhesion G protein-coupled receptor L4
ADGRV1,adhesion G protein-coupled receptor V1
ADRA1A,adrenoceptor alpha 1A
ADRA1B,adrenoceptor alpha 1B
ADRA1D,adrenoceptor alpha 1D
ADRA2A,adrenoceptor alpha 2A
ADRA2B,adrenoceptor alpha 2B
ADRA2C,adrenoceptor alpha 2C
ADRB1,adrenoceptor beta 1
ADRB2,adrenoceptor beta 2
ADRB3,adrenoceptor beta 3
AGTR1,angiotensin II receptor type 1
AGTR2,angiotensin II receptor type 2
APLNR,apelin receptor
GPBAR1,G protein-coupled bile acid receptor 1
NMBR,neuromedin B receptor
GRPR,gastrin releasing peptide receptor
BRS3,bombesin receptor subtype 3
BDKRB1,bradykinin receptor B1
BDKRB2,bradykinin receptor B2
CALCR,calcitonin receptor
,
,
,
CALCRL,calcitonin receptor like receptor
,
,
,
CASR,calcium sensing receptor
CNR1,cannabinoid receptor 1
CNR2,cannabinoid receptor 2
CMKLR1,chemerin chemokine-like receptor 1
CMKLR2,chemerin chemokine-like receptor 2
CCR1,C-C motif chemokine receptor 1
CCR2,C-C motif chemokine receptor 2
CCR3,C-C motif chemokine receptor 3
CCR4,C-C motif chemokine receptor 4
CCR5,C-C motif chemokine receptor 5
CCR6,C-C motif chemokine receptor 6
CCR7,C-C motif chemokine receptor 7
CCR8,C-C motif chemokine receptor 8
CCR9,C-C motif chemokine receptor 9
CCR10,C-C motif chemokine receptor 10
CXCR1,C-X-C motif chemokine receptor 1
CXCR2,C-X-C motif chemokine receptor 2
CXCR3,C-X-C motif chemokine receptor 3
CXCR4,C-X-C motif chemokine receptor 4
CXCR5,C-X-C motif chemokine receptor 5
CXCR6,C-X-C motif chemokine receptor 6
CX3CR1,C-X3-C motif chemokine receptor 1
XCR1,X-C motif chemokine receptor 1
ACKR1,atypical chemokine receptor 1 (Duffy blood group)
ACKR2,atypical chemokine receptor 2
ACKR3,atypical chemokine receptor 3
ACKR4,atypical chemokine receptor 4
CCRL2,C-C motif chemokine receptor like 2
CCKAR,cholecystokinin A receptor
CCKBR,cholecystokinin B receptor
GPR3,G protein-coupled receptor 3
GPR4,G protein-coupled receptor 4
GPR42,G protein-coupled receptor 42
GPR6,G protein-coupled receptor 6
GPR12,G protein-coupled receptor 12
GPR15,G protein-coupled receptor 15
GPR17,G protein-coupled receptor 17
GPR19,G protein-coupled receptor 19
GPR20,G protein-coupled receptor 20
GPR21,G protein-coupled receptor 21
GPR22,G protein-coupled receptor 22
GPR25,G protein-coupled receptor 25
GPR26,G protein-coupled receptor 26
GPR27,G protein-coupled receptor 27
GPR31,G protein-coupled receptor 31
GPR32,G protein-coupled receptor 32
GPR33,G protein-coupled receptor 33
GPR34,G protein-coupled receptor 34
GPR35,G protein-coupled receptor 35
GPR37,G protein-coupled receptor 37
GPR37L1,G protein-coupled receptor 37 like 1
GPR39,G protein-coupled receptor 39
GPR45,G protein-coupled receptor 45
GPR50,G protein-coupled receptor 50
GPR52,G protein-coupled receptor 52
GPR61,G protein-coupled receptor 61
GPR62,G protein-coupled receptor 62
GPR63,G protein-coupled receptor 63
GPR65,G protein-coupled receptor 65
GPR68,G protein-coupled receptor 68
GPR75,G protein-coupled receptor 75
GPR78,G protein-coupled receptor 78
GPR79,G protein-coupled receptor 79 (pseudogene)
GPR82,G protein-coupled receptor 82
GPR83,G protein-coupled receptor 83
GPR84,G protein-coupled receptor 84
GPR85,G protein-coupled receptor 85
GPR87,G protein-coupled receptor 87
GPR88,G protein-coupled receptor 88
GPR101,G protein-coupled receptor 101
GPR132,G protein-coupled receptor 132
GPR135,G protein-coupled receptor 135
GPR139,G protein-coupled receptor 139
GPR141,G protein-coupled receptor 141
GPR142,G protein-coupled receptor 142
GPR146,G protein-coupled receptor 146
GPR148,G protein-coupled receptor 148
GPR149,G protein-coupled receptor 149
GPR150,G protein-coupled receptor 150
GPR151,G protein-coupled receptor 151
GPR152,G protein-coupled receptor 152
GPR153,G protein-coupled receptor 153
GPR160,G protein-coupled receptor 160
GPR161,G protein-coupled receptor 161
GPR162,G protein-coupled receptor 162
GPR171,G protein-coupled receptor 171
GPR173,G protein-coupled receptor 173
GPR174,G protein-coupled receptor 174
GPR176,G protein-coupled receptor 176
GPR182,G protein-coupled receptor 182
GPR183,G protein-coupled receptor 183
LGR4,leucine rich repeat containing G protein-coupled receptor 4
LGR5,leucine rich repeat containing G protein-coupled receptor 5
LGR6,leucine rich repeat containing G protein-coupled receptor 6
MAS1,"MAS1 proto-oncogene, G protein-coupled receptor"
MAS1L,"MAS1 proto-oncogene like, G protein-coupled receptor"
MRGPRD,MAS related GPR family member D
MRGPRE,MAS related GPR family member E
MRGPRF,MAS related GPR family member F
MRGPRG,MAS related GPR family member G
MRGPRX1,MAS related GPR family member X1
MRGPRX2,MAS related GPR family member X2
MRGPRX3,MAS related GPR family member X3
MRGPRX4,MAS related GPR family member X4
P2RY8,P2Y receptor family member 8
P2RY10,P2Y receptor family member 10
TAAR2,trace amine associated receptor 2
TAAR3P,"trace amine associated receptor 3, pseudogene"
TAAR4P,"trace amine associated receptor 4, pseudogene"
TAAR5,trace amine associated receptor 5
TAAR6,trace amine associated receptor 6
TAAR8,trace amine associated receptor 8
TAAR9,trace amine associated receptor 9
GPR156,G protein-coupled receptor 156
GPR158,G protein-coupled receptor 158
GPR179,G protein-coupled receptor 179
GPRC5A,G protein-coupled receptor class C group 5 member A
GPRC5B,G protein-coupled receptor class C group 5 member B
GPRC5C,G protein-coupled receptor class C group 5 member C
GPRC5D,G protein-coupled receptor class C group 5 member D
GPRC6A,G protein-coupled receptor class C group 6 member A
FZD1,frizzled class receptor 1
FZD2,frizzled class receptor 2
FZD3,frizzled class receptor 3
FZD4,frizzled class receptor 4
FZD5,frizzled class receptor 5
FZD6,frizzled class receptor 6
FZD7,frizzled class receptor 7
FZD8,frizzled class receptor 8
FZD9,frizzled class receptor 9
FZD10,frizzled class receptor 10
SMO,"smoothened, frizzled class receptor"
C3AR1,complement C3a receptor 1
C5AR1,complement C5a receptor 1
C5AR2,complement C5a receptor 2
CRHR1,corticotropin releasing hormone receptor 1
CRHR2,corticotropin releasing hormone receptor 2
DRD1,dopamine receptor D1
DRD2,dopamine receptor D2
DRD3,dopamine receptor D3
DRD4,dopamine receptor D4
DRD5,dopamine receptor D5
EDNRA,endothelin receptor type A
EDNRB,endothelin receptor type B
FPR1,formyl peptide receptor 1
FPR2,formyl peptide receptor 2
FPR3,formyl peptide receptor 3
FFAR1,free fatty acid receptor 1
FFAR2,free fatty acid receptor 2
FFAR3,free fatty acid receptor 3
FFAR4,free fatty acid receptor 4
GPR42,G protein-coupled receptor 42
,
GABBR1,gamma-aminobutyric acid type B receptor subunit 1
GABBR2,gamma-aminobutyric acid type B receptor subunit 2
GALR1,galanin receptor 1
GALR2,galanin receptor 2
GALR3,galanin receptor 3
GHSR,growth hormone secretagogue receptor
GHRHR,growth hormone releasing hormone receptor
GIPR,gastric inhibitory polypeptide receptor
GLP1R,glucagon like peptide 1 receptor
GLP2R,glucagon like peptide 2 receptor
GCGR,glucagon receptor
SCTR,secretin receptor
FSHR,follicle stimulating hormone receptor
LHCGR,luteinizing hormone/choriogonadotropin receptor
TSHR,thyroid stimulating hormone receptor
GNRHR,gonadotropin releasing hormone receptor
GNRHR2,gonadotropin releasing hormone receptor 2 (pseudogene)
GPR18,G protein-coupled receptor 18
GPR55,G protein-coupled receptor 55
GPR119,G protein-coupled receptor 119
GPER1,G protein-coupled estrogen receptor 1
HRH1,histamine receptor H1
HRH2,histamine receptor H2
HRH3,histamine receptor H3
HRH4,histamine receptor H4
HCAR1,hydroxycarboxylic acid receptor 1
HCAR2,hydroxycarboxylic acid receptor 2
HCAR3,hydroxycarboxylic acid receptor 3
KISS1R,KISS1 receptor
LTB4R,leukotriene B4 receptor
LTB4R2,leukotriene B4 receptor 2
CYSLTR1,cysteinyl leukotriene receptor 1
CYSLTR2,cysteinyl leukotriene receptor 2
OXER1,oxoeicosanoid receptor 1
FPR2,formyl peptide receptor 2
LPAR1,lysophosphatidic acid receptor 1
LPAR2,lysophosphatidic acid receptor 2
LPAR3,lysophosphatidic acid receptor 3
LPAR4,lysophosphatidic acid receptor 4
LPAR5,lysophosphatidic acid receptor 5
LPAR6,lysophosphatidic acid receptor 6
S1PR1,sphingosine-1-phosphate receptor 1
S1PR2,sphingosine-1-phosphate receptor 2
S1PR3,sphingosine-1-phosphate receptor 3
S1PR4,sphingosine-1-phosphate receptor 4
S1PR5,sphingosine-1-phosphate receptor 5
MCHR1,melanin concentrating hormone receptor 1
MCHR2,melanin concentrating hormone receptor 2
MC1R,melanocortin 1 receptor
MC2R,melanocortin 2 receptor
MC3R,melanocortin 3 receptor
