gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
XIST,0.400031706,-1.797291732,0.081679009,9.49E-109,1.56E-105
ISG15,1.542636186,-0.880905072,0.055984965,4.59E-60,1.79E-57
CALB2,0.454562942,-0.785025073,0.09743876,4.58E-19,2.44E-17
STS,0.895542435,-0.707072999,0.052626217,1.54E-43,3.82E-41
NLGN4X,0.582084875,-0.651268857,0.062570304,1.51E-27,1.53E-25
APOC1,6.218939979,-0.646505168,0.031934983,4.29E-93,4.40E-90
MPZ,4.939788841,-0.611750182,0.043632342,1.12E-46,3.17E-44
IFI6,2.320400162,-0.604394497,0.045051354,4.46E-43,9.63E-41
NQO1,0.587654448,-0.583292416,0.060983084,6.56E-24,5.61E-22
IFI44L,0.3650652,-0.562248243,0.082153321,2.51E-14,7.73E-13
TREM2,0.839996463,-0.515184963,0.057796063,1.44E-21,1.08E-19
JAG1,0.714756785,-0.51504385,0.058247451,2.72E-21,1.93E-19
OAF,0.876677188,-0.508283856,0.058815481,1.49E-20,9.56E-19
UCN,0.594286696,-0.507557386,0.11637274,2.04E-08,3.28E-07
LAMA4,1.108141174,-0.485738237,0.049740363,3.65E-25,3.40E-23
IFIT3,0.457693492,-0.47648163,0.077935843,1.98E-12,5.08E-11
MBP,4.313481042,-0.467701806,0.032188047,1.59E-50,5.21E-48
THNSL2,0.490630973,-0.464635174,0.062592207,2.34E-16,9.22E-15
RASA4CP,0.381394586,-0.464427123,0.074768411,1.06E-12,2.82E-11
SPP1,20.38611306,-0.452801376,0.057717395,8.73E-18,3.92E-16
IFIT1,0.451917843,-0.440338264,0.079521387,6.33E-11,1.38E-09
RARRES3,0.932601668,-0.432634446,0.052903942,6.07E-19,3.15E-17
SERPINH1,0.596069801,-0.43003796,0.06670197,2.48E-13,6.97E-12
IGFBP2,0.696247404,-0.429996817,0.0686488,8.19E-13,2.19E-11
GPX2,4.475328193,-0.428740577,0.075395022,2.82E-11,6.43E-10
IFI27,7.181098827,-0.428552497,0.040049242,2.07E-29,2.43E-27
TIMP4,1.780732626,-0.425862238,0.046586863,1.32E-22,1.04E-20
TNFRSF12A,0.89850713,-0.423007314,0.057849667,5.90E-16,2.17E-14
COA6,0.888269437,-0.419637079,0.049649923,6.46E-20,3.81E-18
RASSF4,1.707606375,0.414111999,0.039490307,2.28E-28,2.43E-26
AEBP1,0.578237543,0.415172822,0.072542733,2.48E-11,5.68E-10
CTXN1,0.376982968,0.422927626,0.080255378,3.03E-10,6.12E-09
RNASE1,2.784851012,0.424129723,0.052415056,1.29E-18,6.40E-17
SPEG,1.141395905,0.426799047,0.049645779,1.76E-20,1.11E-18
NNMT,0.527562322,0.427402973,0.092097457,7.15E-09,1.22E-07
GADD45B,1.117670128,0.433594491,0.060187182,1.24E-15,4.47E-14
SMAP2,0.606609072,0.434191731,0.057475285,8.87E-17,3.68E-15
LCNL1,0.246880958,0.437741992,0.109748152,1.17E-07,1.70E-06
METTL26,1.42977888,0.440236534,0.042073097,2.50E-28,2.63E-26
HCLS1,0.70582506,0.440412204,0.05962018,3.11E-16,1.19E-14
CDH19,1.308635502,0.445785734,0.050716454,3.00E-21,2.09E-19
CCL2,1.367778302,0.448284314,0.059061743,6.49E-17,2.73E-15
MT-ND3,17.94389309,0.448303846,0.03618603,5.74E-38,1.05E-35
WASF2,0.889747584,0.450152967,0.053186643,5.20E-20,3.09E-18
H2AFZ,2.11021702,0.453911719,0.034613831,5.28E-42,1.11E-39
THBS1,0.387336747,0.458840442,0.08103846,2.97E-11,6.71E-10
KLF9,0.516500169,0.465872986,0.066604339,5.43E-15,1.81E-13
GPX3,9.280846797,0.477805604,0.035077003,6.58E-45,1.80E-42
FOS,2.653604116,0.478284393,0.049189436,5.23E-25,4.82E-23
AL445189.2,0.339888901,0.484728859,0.072517364,4.93E-14,1.47E-12
ACKR1,0.652683253,0.492857889,0.068368886,1.27E-15,4.54E-14
C1orf162,0.52683593,0.494069136,0.068758581,1.52E-15,5.36E-14
RPS21P4,0.566362321,0.495795301,0.061271709,1.40E-18,6.89E-17
HMGN2,1.246246859,0.500578354,0.048326721,1.03E-27,1.05E-25
ANXA1,1.324857336,0.501118913,0.06252114,2.71E-18,1.31E-16
ALKAL2,0.476502995,0.502701877,0.164245236,2.05E-06,2.32E-05
RPS3AP6,3.714051488,0.505123342,0.030566938,7.59E-64,3.66E-61
RPL37AP1,0.468294896,0.508095336,0.068185578,2.31E-16,9.16E-15
NFKBIA,0.722405741,0.525785488,0.05969578,4.11E-21,2.81E-19
MT-ND4L,0.832411705,0.531786162,0.066861651,5.71E-18,2.63E-16
MS4A4A,0.386059822,0.534009582,0.075784977,5.27E-15,1.76E-13
FAM107A,0.258033665,0.534022122,0.126070185,3.29E-08,5.15E-07
SCN11A,1.358970036,0.534119445,0.084339568,6.17E-13,1.67E-11
AC004057.1,0.710046592,0.535970857,0.058024058,9.37E-23,7.54E-21
PER1,0.439758917,0.540023528,0.073154586,4.89E-16,1.81E-14
AC103591.3,0.404923243,0.541969752,0.084408145,3.67E-13,1.02E-11
SDCCAG8,0.768606752,0.544009998,0.062466703,1.17E-20,7.62E-19
H1FX,2.084532974,0.549368798,0.037773315,3.71E-50,1.17E-47
UQCR11,1.178155354,0.550178146,0.045906939,2.25E-35,3.62E-33
FSTL3,0.997729153,0.560790248,0.060111656,5.08E-23,4.13E-21
SDC3,0.69322526,0.566250949,0.059867041,1.58E-23,1.33E-21
EIF5A,1.897866896,0.568141907,0.035111055,5.29E-61,2.41E-58
MT-ND1,16.02322679,0.570111062,0.034235818,2.33E-64,1.19E-61
IER3,0.628266154,0.572973678,0.070877258,2.75E-18,1.32E-16
NID1,0.590878947,0.582319448,0.070785227,9.16E-19,4.64E-17
DGKH,3.227172625,0.58384981,0.056597565,3.82E-27,3.82E-25
SYNPR,0.347660249,0.588144528,0.108825696,1.45E-10,3.10E-09
CEBPD,3.113953336,0.58825591,0.043220138,2.91E-44,7.47E-42
NME2P1,2.332720115,0.592050587,0.032456443,2.46E-76,1.84E-73
AIF1,1.911183364,0.595287177,0.043588499,1.62E-44,4.29E-42
INA,1.10812284,0.602585714,0.079613862,1.68E-16,6.82E-15
SLC2A5,0.518854729,0.60273482,0.066787668,1.07E-21,8.11E-20
MT-TV,3.975172196,0.610466003,0.053354037,2.09E-32,2.90E-30
AC064799.1,0.358729371,0.620077019,0.080383252,5.68E-17,2.41E-15
NAPSB,1.002404739,0.637848437,0.057219478,5.68E-31,7.29E-29
SIGLEC10,0.262895787,0.656313333,0.090291592,1.31E-15,4.64E-14
FCGBP,6.173807503,0.657807065,0.045832633,8.70E-49,2.64E-46
RPL17P34,0.307243696,0.668608436,0.095836026,9.08E-15,2.91E-13
ARHGDIG,1.698653235,0.685387623,0.038201745,3.81E-74,2.23E-71
GLUL,3.451181619,0.696836998,0.038683035,8.52E-75,5.38E-72
EGR1,0.463889483,0.706870213,0.076783942,1.02E-22,8.09E-21
IL31RA,0.546258325,0.707991737,0.137236404,2.47E-10,5.10E-09
MS4A6A,0.961432651,0.718880368,0.053692545,2.29E-43,5.21E-41
MT1M,0.519665396,0.723286224,0.069361261,4.67E-28,4.86E-26
IGLC2,0.334986745,0.753139391,0.22379881,1.97E-07,2.76E-06
C1QC,2.526372053,0.758961718,0.04731721,8.84E-61,3.82E-58
FPR1,0.343138956,0.787935113,0.083023623,1.30E-24,1.15E-22
PDK4,0.446620785,0.793576216,0.093497911,1.04E-20,6.88E-19
C1QB,7.649089696,0.805202019,0.039026259,4.80E-98,5.62E-95
NEK10,0.788760009,0.882506338,0.057744245,5.17E-57,1.84E-54
H19,0.534227406,0.884479037,0.084406174,8.06E-30,1.00E-27
CCL3L3,0.311039744,0.902987105,0.143887126,4.79E-14,1.43E-12
C10orf10,0.693212313,0.911194499,0.069701418,1.95E-43,4.70E-41
IGHG1,0.446649901,1.115020364,0.155979444,3.83E-16,1.44E-14
CCL3,0.999555116,1.133420365,0.090071448,3.02E-39,5.63E-37
CCL4,1.388192739,1.134836483,0.095851433,2.72E-35,4.29E-33
S100A9,0.838029179,1.21167564,0.074998909,1.08E-60,4.43E-58
FKBP5,0.693391811,1.34032128,0.073238074,5.27E-76,3.60E-73
JCHAIN,0.365926062,1.34871568,0.234052345,3.38E-11,7.55E-10
CCL4L2,1.093591278,1.371085897,0.102741751,7.49E-42,1.54E-39
EIF1AY,0.202213612,1.454818446,0.112577397,2.53E-39,4.83E-37
HAMP,2.314383705,1.490539111,0.055975879,3.03E-157,8.29E-154
S100A8,1.063143545,1.713220152,0.079257842,6.31E-105,8.64E-102
BCYRN1,5.464689411,1.841999383,0.082722546,2.36E-111,4.83E-108
HLA-DRB5,0.661455588,2.513727269,0.084700289,1.31E-195,5.38E-192
IGHA1,2.979924438,3.106297513,0.154566557,2.37E-91,1.95E-88
RPS4Y1,0.828786207,3.305465787,0.054563949,0,0
