"","Gene","Value","Rank","Label"
"1","STARD13",-0.505562557207588,1,NA
"2","VCAN",-0.460114809720628,2,NA
"3","GALNT2",-0.42771457638813,3,NA
"4","THBS1",-0.426400653155261,4,NA
"5","SRSF1",-0.423670266842543,5,NA
"6","LHFPL6",-0.412747425900238,6,NA
"7","NFIB",-0.404105675592604,7,NA
"8","ZCCHC24",-0.403163797268228,8,NA
"9","MFAP4",-0.401973550407658,9,NA
"10","DDX5",-0.389474477260176,10,NA
"11","A2M",-0.388561587669515,11,NA
"12","NID1",-0.38447060999584,12,NA
"13","IGFBP7",-0.375424405185152,13,NA
"14","CCNL1",-0.368991566161244,14,"CCNL1"
"15","NFATC1",-0.368422684121139,15,NA
"16","CRISPLD2",-0.362682856894881,16,NA
"17","CEBPD",-0.360805453229322,17,"CEBPD"
"18","ABCA1",-0.354780853337056,18,"ABCA1"
"19","PRPS2",-0.327470447264752,19,NA
"20","ABCC1",-0.325539163055202,20,NA
"21","C1orf198",-0.322062792197085,21,NA
"22","XPNPEP2",-0.318469935844755,22,NA
"23","TEAD1",-0.314499021485065,23,NA
"24","CYBB",-0.311534482085059,24,NA
"25","SLC4A7",-0.311336557328651,25,NA
"26","CTTNBP2NL",-0.309027974184894,26,NA
"27","LAMA3",-0.308428316035529,27,NA
"28","LAMB1",-0.302516528929721,28,NA
"29","BCL2",-0.300959241225638,29,NA
"30","RP2",-0.298166362264185,30,NA
"31","PLPP3",-0.29266026987109,31,"PLPP3"
"32","ZBTB20",-0.288041732926458,32,NA
"33","PTPN14",-0.285726588627674,33,NA
"34","ZMYND11",-0.283568319169195,34,NA
"35","RAP1B",-0.282423846465924,35,NA
"36","NNMT",-0.281862556070971,36,NA
"37","LAMA4",-0.275556217008827,37,NA
"38","BTK",-0.274960486150399,38,NA
"39","AXL",-0.272999673087349,39,NA
"40","HDAC7",-0.269098102167381,40,NA
"41","ARID1B",-0.267693448643098,41,NA
"42","GPC3",-0.267035663460437,42,NA
"43","TGFBR3",-0.257587078015426,43,NA
"44","SEMA4B",-0.257459502803868,44,NA
"45","ATP2B4",-0.257248258650211,45,NA
"46","THBS2",-0.251558198494557,46,NA
"47","LPAR1",-0.248714680501803,47,NA
"48","SSR4",-0.24762425614178,48,NA
"49","NFIX",-0.239445854934748,49,NA
"50","PHLDB2",-0.236299316876303,50,NA
"51","SERPINB8",-0.235297986716124,51,"SERPINB8"
"52","HNRNPL",-0.235185386064469,52,NA
"53","ATP6V0A2",-0.233772937223364,53,NA
"54","NRP2",-0.226868355341384,54,NA
"55","ILKAP",-0.226755980820535,55,NA
"56","ARL15",-0.223708591710983,56,NA
"57","ABL1",-0.216173803988254,57,NA
"58","DHX15",-0.213154347614398,58,NA
"59","STON1",-0.212399815789461,59,NA
"60","SCARB1",-0.209303988683107,60,NA
"61","ATF1",-0.201837320242236,61,NA
"62","MAP4K4",-0.200970011507192,62,NA
"63","SSH1",-0.198737371510469,63,NA
"64","TBL1X",-0.196552419722107,64,NA
"65","NID2",-0.193850738764866,65,NA
"66","LGALS3",-0.193162052672895,66,NA
"67","SFXN3",-0.19106611406954,67,NA
"68","SMC3",-0.18998841891667,68,NA
"69","ERBIN",-0.189947139302099,69,NA
"70","ARHGEF12",-0.189204010237154,70,NA
"71","STAG2",-0.188707581335995,71,NA
"72","XRCC5",-0.188055685038917,72,NA
"73","TTC28",-0.185799152693243,73,NA
"74","PIK3R1",-0.18496037708419,74,NA
"75","CHRDL1",-0.183847933551994,75,NA
