"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LYNX1",-1.78952323237595,16.2860575916389,-18.7128243454444,1.17970391795686e-12,1.0146633398347e-08,19.0474994616316
"CLDN19",-1.81515900193988,16.959848577801,-16.1061803638499,1.28118435742677e-11,5.15168784525673e-08,16.8443700148802
"SLC1A4",2.05475592559145,16.5022929445888,15.5017949067239,2.33922686813617e-11,5.15168784525673e-08,16.2768216810424
"MPZ",-1.79400601085509,22.5937379444485,-15.3512805668594,2.72632849176409e-11,5.15168784525673e-08,16.1317971929488
"DUSP15",-2.21086634948297,16.3427064359587,-15.159933585706,3.31859714553884e-11,5.15168784525673e-08,15.945242803055
"MBP",-2.0889814615795,22.5671760215623,-14.9975628214685,3.92773640277926e-11,5.15168784525673e-08,15.7849872098506
"RAP2A",-1.37531109225436,15.7330814023488,-14.8901095911116,4.3949721723535e-11,5.15168784525673e-08,15.6779335187095
"PRX",-1.91194428953471,21.2022126201732,-14.8079403693795,4.79171058737982e-11,5.15168784525673e-08,15.5955260381937
"PLLP",-2.0009603855636,14.4186996485482,-14.540495892397,6.36675692041543e-11,6.08449736361034e-08,15.3239930689327
"RAP2C",-1.0818048542051,15.0923522554061,-14.262412097306,8.59701621774938e-11,7.39429364888624e-08,15.0361694412931
"RHOBTB3",-1.10326634887379,13.713732669657,-14.1167385781449,1.0081971366457e-10,7.50701085560173e-08,14.8831081583631
"DHH",-1.94085708737548,14.5419104910626,-14.0820787975032,1.04736809983979e-10,7.50701085560173e-08,14.846455620935
"PALS2",-1.74827613093905,17.4261781024509,-13.8796150192936,1.31068347036909e-10,8.44413998875602e-08,14.6305226975522
"PMP2",-1.82067537017953,23.3345854813107,-13.8370364978626,1.37446761821398e-10,8.44413998875602e-08,14.5847104258709
"RASAL1",-1.4497878742985,13.6040264317562,-13.7375389523156,1.53662929671328e-10,8.81103238735394e-08,14.4771063393221
"EEF1E1",1.34663226760731,16.0317663308723,13.291598867893,2.5547886699948e-10,1.33536331946822e-07,13.9851793888857
"ANXA3",-1.37326799011762,18.7029943238441,-13.2634496107164,2.63936477513775e-10,1.33536331946822e-07,13.9535871259901
"MAGED4",1.73080521637593,13.5195115645289,13.1928025535171,2.86489669621778e-10,1.3689431380094e-07,13.8740112350152
"SLC25A10",-1.08758679973405,15.0779276556824,-13.0467215434445,3.39819438878708e-10,1.53830894410304e-07,13.7081509619888
"DRP2",-1.7086841422467,16.6963433641856,-12.9341830137829,3.88003898235792e-10,1.63854260091134e-07,13.579150641439
"SLC12A2",-1.3809383738144,14.9497534688583,-12.9083224006284,4.00062720836392e-10,1.63854260091134e-07,13.5493551951236
"PLP1",-1.90004177473917,20.3337872549309,-12.7627569204428,4.75729662498541e-10,1.85988673961361e-07,13.3805707614108
"FARSA",1.68174906883743,15.2066043407107,12.708302352438,5.07791990169693e-10,1.8862020039756e-07,13.316959344628
"ERLEC1",1.02499254655461,15.9925734507772,12.6693500256454,5.3211931162996e-10,1.8862020039756e-07,13.2712983603449
"CADM4",-1.8361984174119,19.9993715447403,-12.6445420172358,5.4825078594803e-10,1.8862020039756e-07,13.2421485005076
"PCBP3",1.62836884215115,14.5807564809336,12.5704299064106,5.99586352334051e-10,1.98347777554814e-07,13.1547430054934
"MARS1",1.39920944519227,17.4432529287928,12.4075706341623,7.31032272364373e-10,2.29802311066329e-07,12.9609590796424
"EPB41L3",-1.4705909248033,17.7021451606263,-12.3887137830329,7.48106581776214e-10,2.29802311066329e-07,12.9383681460767
"SLC44A2",-1.40014943783764,15.8134541121329,-12.2946584723839,8.3977451545496e-10,2.49065538187176e-07,12.8252076387799
"SUSD2",-1.2269570393107,15.6108453524896,-12.2252148572302,9.15011879681643e-10,2.62333905904727e-07,12.7411415599869
"RTL8C",1.45955079812571,15.1086712164521,12.0550053816746,1.13107765636555e-09,3.13819320077421e-07,12.5332141607652
"MPP2",1.2740426447043,13.0973334333627,11.9739034751492,1.25236027907106e-09,3.24193255353548e-07,12.4331915985371
"EEF1A2",1.33936400301792,21.657231928539,11.9461987171958,1.2968685591178e-09,3.24193255353548e-07,12.3988817805982
"CEMIP2",-1.79492545639292,14.3250945943118,-11.9127857036222,1.35277367591368e-09,3.24193255353548e-07,12.357406349118
"FARSB",1.65534692309962,16.9882837115805,11.9070403401574,1.36263956558289e-09,3.24193255353548e-07,12.3502640023207
"GJB1",-1.54201135464805,14.2549378589273,-11.8973517525518,1.37944875207584e-09,3.24193255353548e-07,12.3382125459829
"SIAE",1.96086483709082,15.7545153247503,11.8682235308908,1.43131280985669e-09,3.24193255353548e-07,12.3019267798921
"B3GAT3",1.32418720292796,14.9751777426584,11.8618158905512,1.44299506499032e-09,3.24193255353548e-07,12.2939337867762
"ELAVL4",3.51631196352061,13.9173747120444,12.4516903459144,1.47000778500039e-09,3.24193255353548e-07,12.3087638584086
"UBL3",-1.30187665767384,14.9189049426934,-11.7835941995264,1.59398554741187e-09,3.31010655491873e-07,12.1960426121872
"EPDR1",2.03941462649199,18.9564832210358,11.7762107193513,1.60907304981213e-09,3.31010655491873e-07,12.1867722092017
"POGLUT1",1.00313836888156,15.3319112642061,11.7165077679589,1.73673690069724e-09,3.31010655491873e-07,12.1116186741234
"MSI2",1.21765765380625,14.5081088261274,11.7075153490584,1.75687132292047e-09,3.31010655491873e-07,12.1002692694877
"NACAD",2.45623890953183,14.6821585146322,11.690216454499,1.79629866692176e-09,3.31010655491873e-07,12.078414167141
"MYO1D",-1.42960055487246,16.4670362227986,-11.6855012727272,1.80720623763501e-09,3.31010655491873e-07,12.0724520612596
"DHCR7",1.41234759529477,15.9064211102491,11.6758398092681,1.82977440925991e-09,3.31010655491873e-07,12.0602288935482
"CD55",-1.06548932795601,15.2700378046041,-11.6608298098995,1.86542672194936e-09,3.31010655491873e-07,12.0412210507419
"PLSCR3",-1.03870721699664,16.0155269071465,-11.6467691681469,1.89948796222651e-09,3.31010655491873e-07,12.0233955352942
"EPRS1",1.03981245352056,17.8312527338517,11.621330940618,1.96278556273162e-09,3.31010655491873e-07,11.991096995656
"CKMT1A",1.81801895104103,16.9220758714761,11.6122255423952,1.98597886980743e-09,3.31010655491873e-07,11.9795206485665
"RARS1",1.06118252646365,16.6916159340409,11.6098686444431,1.99202925965559e-09,3.31010655491873e-07,11.9765228340079
"VAT1",-1.14267797181951,18.7644737113571,-11.5984941159265,2.02150284889693e-09,3.31010655491873e-07,11.9620475618173
"FXR1",1.19959016707039,16.1443381640871,11.5915536345751,2.03971221265775e-09,3.31010655491873e-07,11.9532088522116
"SNTA1",-1.1807405536568,17.2346460503253,-11.5257051294999,2.22131810555387e-09,3.53806611590164e-07,11.8691153361676
"SFT2D2",-1.20141604812032,16.5542708211429,-11.4475623644452,2.45915464792901e-09,3.77699805836383e-07,11.7687656412535
"PIP5KL1",-1.62812425455554,12.8286932629523,-11.3819753654151,2.67945532236451e-09,4.04315705748371e-07,11.6840710778937
"CBLN4",1.32605095925027,15.8425941981765,11.2563331065355,3.1615337865326e-09,4.51290176618401e-07,11.520619220336
"SLC27A6",-1.49847193297824,16.2561611076808,-11.2360013042547,3.24775954943486e-09,4.51290176618401e-07,11.4940188816018
"AHNAK2",-1.52296831185656,16.3178725423383,-11.2347586797943,3.25310905131274e-09,4.51290176618401e-07,11.4923917786991
"PDK3",1.23691486496032,14.9642727046704,11.2135360744518,3.3459181986225e-09,4.56797498830986e-07,11.4645784536127
"LAMA1",2.45206024692533,16.5541913215453,11.19303491152,3.43822135367729e-09,4.61917279320537e-07,11.4376670126024
"SLITRK2",1.30935884625685,13.6493260957357,11.1816078566706,3.49082934029007e-09,4.61917279320537e-07,11.4226483281023
"ALPL",1.94023384487362,14.6023249885625,11.1560936305744,3.61137284463155e-09,4.70627542979939e-07,11.3890665134326
"GNAI1",-1.60460462025641,17.8761356914399,-11.098307673697,3.90087208242786e-09,4.94898567078153e-07,11.3127615358353
"GLDN",-1.34604362890049,14.5407208667682,-11.0884475393247,3.95266097302849e-09,4.94898567078153e-07,11.2997071103083
"CD9",-2.50993593603257,19.4272099973453,-11.0851322486017,3.97023615026073e-09,4.94898567078153e-07,11.2953155420822
"IARS1",1.37999425321523,16.9628434355585,11.0586333024262,4.11370357907948e-09,5.05456635480895e-07,11.260173119467
"POMGNT2",1.15910740945429,15.1066213499369,10.9813842473978,4.56392760341469e-09,5.45199184957913e-07,11.1573109312538
"STBD1",1.86086813811736,16.5154017643804,10.9071098341466,5.04590156384712e-09,5.86483775008771e-07,11.0578220644364
"G3BP2",1.49759532163912,15.8528960919374,10.8875545881066,5.18150458950487e-09,5.8829550350807e-07,11.0315318957949
"GABBR1",1.65482338724919,13.0968195250577,12.0142960135898,5.19828604425222e-09,5.8829550350807e-07,11.1079778984939
"VARS1",1.0610932496669,17.1331657946622,10.865360175752,5.34006552069052e-09,5.96492253811158e-07,11.0016447594301
"SLC7A5",-1.26607508630959,14.0171662897944,-10.8392460339618,5.5331886982824e-09,6.0873821934138e-07,10.9664126153996
"HABP4",2.05902242187084,13.8353394572354,10.8315824632816,5.591247451223e-09,6.0873821934138e-07,10.9560595282387
"CMTM5",-1.2612133066541,16.6355478820812,-10.7419753800204,6.31970331384983e-09,6.56039576978163e-07,10.834541490813
"DARS1",1.11283076203279,16.5826134408453,10.740694912295,6.33080861402018e-09,6.56039576978163e-07,10.8327988120984
"SLC4A4",2.29710920168394,13.9404109269487,11.202945042356,6.61207229567788e-09,6.69359991510096e-07,10.8371920840296
"EEF1B2",1.26460295657059,18.0037774308183,10.7024798784674,6.67186769498524e-09,6.69359991510096e-07,10.7807083914295
"FXR2",1.19487843182445,15.3205643676457,10.7001806140753,6.69299478399086e-09,6.69359991510096e-07,10.7775692942324
"CDS2",1.57688465448941,15.7954412534554,10.610117865751,7.57845438212796e-09,7.40707797053211e-07,10.6541616535591
"ADD2",-1.21178517336255,14.4197335636355,-10.5753440364584,7.95257622969802e-09,7.6854054102958e-07,10.6062781025353
"CTNNA3",-1.3149838765298,15.999261385873,-10.5072985796016,8.74196162475632e-09,8.11635978777e-07,10.5121982424285
"PYCR2",1.1367679552159,14.4520159788195,10.5045137042101,8.77597326197663e-09,8.11635978777e-07,10.5083370766397
"MICU3",1.18716539305004,13.3901938842324,10.453085774994,9.42970936794041e-09,8.62818407166548e-07,10.4368803153629
"SIRPA",-1.25586556673138,16.8872313438045,-10.431214391389,9.72306797983721e-09,8.80295870469261e-07,10.4064027550694
"STAU2",1.55072174646784,11.5371638474498,10.3681840154758,1.06234055950486e-08,9.45587800524041e-07,10.3182745342694
"ATP2C1",1.25443355171029,14.5875268352412,10.3654685257321,1.06641107604734e-08,9.45587800524041e-07,10.3144678687925
"ELAVL2",3.29757335502748,14.283319335717,10.310206572219,1.15291002023146e-08,1.01185500857253e-06,10.2368213245338
"PLBD2",1.52501966295522,15.7440004217789,10.2974591742358,1.17389064771945e-08,1.0181066729955e-06,10.2188620182575
"LIN7A",-1.29138347755963,17.2172738289961,-10.2915767572915,1.18370732821242e-08,1.0181066729955e-06,10.2105683791493
"GAS2L3",-1.19013200144814,13.9167577615142,-10.2597291645142,1.23837433778391e-08,1.05457996824549e-06,10.165598982987
"TTYH1",1.96719895281712,14.4719187719444,10.2240599535746,1.30276502757502e-08,1.07741173097815e-06,10.1150980373374
"COQ10B",1.32534033343638,14.4661715134805,10.2104749978063,1.32820572667277e-08,1.08799023382024e-06,10.095826567197
"PLEKHF1",-1.11159729356185,14.1957594070141,-10.2001856110724,1.34782198984414e-08,1.0936431070424e-06,10.0812162841753
"CNP",-1.26213567095659,21.2086609451822,-10.1023673843466,1.55024953493261e-08,1.22327488531701e-06,9.94172100297667
"MYO1B",-1.15209238298603,17.0584096846363,-10.0877747683982,1.583085208279e-08,1.23782871603706e-06,9.92081758645106
"PURG",2.17411620803586,14.1597453759349,10.0630863528197,1.64031267225059e-08,1.27102065711958e-06,9.8853968321314
"SEMA7A",-1.28797366469959,14.5810290472507,-9.96729092902519,1.88378665355727e-08,1.43384504488903e-06,9.7472951147468
"OTUD7B",-1.06188084100339,15.6793237792574,-9.93784349866916,1.96604145471035e-08,1.48332653964594e-06,9.70462989648168
"SVIP",-2.43867173342056,18.3250726363078,-9.88070594838204,2.13659065391776e-08,1.59798401863884e-06,9.62155831248235
"FMN2",-1.47089960121718,12.9774940668844,-9.84875030834459,2.23868667896444e-08,1.64572172015155e-06,9.57493246099628
"CTIF",1.01470412739235,14.1552159979215,9.75406866786183,2.57239516525031e-08,1.83557428749658e-06,9.43608133167591
"SLC44A1",-1.21122059061495,17.0745894079849,-9.75145666317511,2.58231006612122e-08,1.83557428749658e-06,9.43223585124551
"BCAS1",-2.07143582236568,18.2901579350009,-9.73044894105351,2.66352733071536e-08,1.87778676815433e-06,9.40127825861207
"GLDC",-1.23835460161912,16.1028653537229,-9.61660967562106,3.15281833475986e-08,2.11854613259918e-06,9.2326102490278
"PJA2",1.40332847472084,12.5318172854499,9.56588256830047,3.40043855098353e-08,2.26722263387669e-06,9.1569528958582
"SHH",-1.36758464202249,14.1760887687343,-9.52942067132413,3.59098317426524e-08,2.37584971398887e-06,9.1023805079262
"NAT8L",1.30401674342455,13.0392665864303,9.51414472037712,3.67411440434914e-08,2.39697168826016e-06,9.07946941287056
"SCD5",1.18374534426727,15.1202977296369,9.51332263099763,3.67864507441392e-08,2.39697168826016e-06,9.07823563224203
"DDAH1",-1.46627279174302,19.3360302760637,-9.48691294461125,3.82735766610051e-08,2.46985767907132e-06,9.0385568581117
"NFASC",-1.24348703841613,15.9610837532646,-9.48334360054312,3.84793546094125e-08,2.46985767907132e-06,9.03318768466563
"EEF1G",1.23329548190827,19.2588168342918,9.39421923842119,4.40124773116165e-08,2.74312548809575e-06,8.89862097941591
"TPGS1",1.06794909049966,13.0555392111127,9.37276841294567,4.54650025553967e-08,2.81326969049616e-06,8.86608835352888
"CAPS",-2.11638189248048,18.3884917048213,-9.33527962576757,4.81255800328935e-08,2.89460219484557e-06,8.80909706807165
"ARHGEF6",1.13524939197522,14.0843061118447,9.2788475718424,5.24427961460034e-08,3.10930691024367e-06,8.72298222833205
"ELAVL3",1.52121347350855,14.077085241228,11.2953947742279,5.27797708284589e-08,3.10930691024367e-06,8.90886546643276
"SLC36A2",-1.57109434487966,13.7184530428308,-9.20364087883437,5.8837480704616e-08,3.35425244692217e-06,8.60760621323102
"UST",1.07145673441524,13.6020919590724,9.20308605960175,5.88875851046678e-08,3.35425244692217e-06,8.60675244913663
"FA2H",-1.0907107920573,13.5812232085768,-9.13637384635948,6.52508929266621e-08,3.66812372589687e-06,8.50381538439924
"SLC3A2",-1.02526972569854,15.1526590294143,-9.11689405667717,6.72420310270662e-08,3.73128199266966e-06,8.47365326263564
"CRELD1",1.13718946014691,14.8325940082987,9.11267228229411,6.76819031097604e-08,3.73161569645544e-06,8.4671100901007
"ATP13A2",1.54453629853183,13.3627679668498,9.09073997769903,7.0016120857884e-08,3.83572392037363e-06,8.43308208355397
"QPRT",-1.29505942929123,16.2573774053409,-9.06131301467849,7.32813894218658e-08,3.96410836740546e-06,8.38733126811026
"STX1B",-1.23122294561814,14.414502699996,-9.03392177514143,7.64644117325367e-08,4.11044003319717e-06,8.34464756469173
"MME",-1.43439659919944,17.1399688820183,-9.00033927044798,8.05658281439817e-08,4.25600754986029e-06,8.29218691882769
"MSL3",-1.66810017429572,14.7850756059581,-10.2625261480682,8.06568109088742e-08,4.25600754986029e-06,8.47044323254493
"MGLL",-1.25869533382246,16.5196425545107,-8.96281792356936,8.54224271586391e-08,4.45283815752397e-06,8.23340455460704
"ZNF263",-2.20410463575689,15.0723253450304,-10.7859850876239,9.01949082305841e-08,4.59196545294851e-06,8.40624135811207
"GGH",1.68023063380297,16.3848664499951,8.92783846057785,9.02268318461498e-08,4.59196545294851e-06,8.17844357469173
"SGCB",-1.07196304839984,17.5170393236704,-8.92557142151821,9.05478245301962e-08,4.59196545294851e-06,8.17487615601458
"RPL36AL",1.38023096743242,16.9967264285233,8.92407151008205,9.07608565284556e-08,4.59196545294851e-06,8.17251553195521
"MRPL21",1.02762596729362,14.2924018193962,8.91016448038862,9.2761267291852e-08,4.66572900571473e-06,8.15061442272327
"TMPRSS5",-1.26623840700326,14.6694991990364,-8.85931027999239,1.00478636405732e-07,4.96693614037852e-06,8.07031805898682
"SHROOM3",-1.27555222743448,13.2483246181116,-8.84318625934348,1.0306375953139e-07,5.0174209771497e-06,8.04478998059892
"DYNLL1",-1.21025904708952,19.5726149734032,-8.84201943226779,1.03253518539181e-07,5.0174209771497e-06,8.04294132995302
"CRYAB",-1.16291487451954,20.6298472312921,-8.82626827271132,1.05851240047356e-07,5.11475570588375e-06,8.01796906328973
"IGSF8",-1.08593387606225,15.4364943174271,-8.81212249363812,1.08242588621446e-07,5.19925851549793e-06,7.99551488087505
"SQLE",1.30267209293091,13.393235381514,8.80531488036032,1.09413532299166e-07,5.19925851549793e-06,7.98469971595622
"SLC6A15",2.83391338279328,12.779919642458,11.3285043063032,1.13526882487856e-07,5.30985274757411e-06,8.16172024594266
"SNX10",1.56366201814714,12.4858817982891,8.77202754659613,1.15333321153098e-07,5.33323599590211e-06,7.93173075993128
"LPCAT4",1.24805551245186,14.1448258202384,8.74402829557786,1.20572413729593e-07,5.48700174861498e-06,7.8870660147113
"FNDC1",-1.15589689794471,13.861286812277,-8.72710304433229,1.23859791204521e-07,5.57758148769679e-06,7.86001757112074
"ALDH3B1",-1.52529144753043,15.1129954667976,-8.72188938774803,1.24891249482907e-07,5.59473769167958e-06,7.85167810512374
"LITAF",-2.31196775645775,15.5743875218985,-8.68782811326927,1.31855153733938e-07,5.84580503745155e-06,7.79710905741557
"MRPS21",1.58562243418215,14.2397515789444,8.6229730705895,1.46263360603505e-07,6.43159849276343e-06,7.69278943021988
"MPZL2",-1.59963500743508,13.1697725657595,-8.62169397179401,1.46563574535709e-07,6.43159849276343e-06,7.69072648978401
"GLRX2",1.35470329754019,11.1222527217594,8.58915276145699,1.54422360392264e-07,6.70801374613064e-06,7.63817198233495
"MAGED1",1.20132292862342,11.9198276936603,8.88337236201697,1.58580373864188e-07,6.85401907339637e-06,7.67643103522886
"CDC42SE2",-1.11218903278656,14.2678391121607,-8.55647790509734,1.62758635333293e-07,6.99943511250828e-06,7.58526239656335
"UBE2J1",1.03485750123222,12.8752306400709,8.52937896632059,1.70029563056661e-07,7.27574264602159e-06,7.54127567088609
"LIN7C",-1.16927077459339,16.4543978057593,-8.49911777905141,1.78552541450822e-07,7.6026257872204e-06,7.49204208103914
"ZDHHC7",1.23762023824193,12.126491717424,8.47180980461906,1.86627961977162e-07,7.83018098031987e-06,7.44750983191383
"CADM3",-1.33902584638353,13.693148388896,-8.46400902036901,1.89004336977021e-07,7.85326716105969e-06,7.43477072620003
"SGCE",-1.08017223635267,17.158875028984,-8.40626043430193,2.07612263100507e-07,8.42646381543868e-06,7.34021420808556
"LIMCH1",-1.10427139638491,16.3525894268412,-8.39364554867482,2.11926553218521e-07,8.55765391658449e-06,7.31950010216586
"EPHB1",-1.04477928027472,13.4222678456197,-8.38622207335217,2.14509149558855e-07,8.62146352969957e-06,7.3073006251119
"BSCL2",1.46196816001716,16.1556652716934,8.36281438716387,2.22870488946272e-07,8.9158561647762e-06,7.268785387541
"SLC2A6",2.08458228822985,13.2811005290665,8.3568629547114,2.25050292198462e-07,8.91710357681949e-06,7.25898124142032
"ATP1B1",-1.03467445229137,19.9260747073877,-8.34267489117458,2.30337380600837e-07,9.00514459339909e-06,7.23558941682994
"EDNRB",1.52518913111215,12.9108661451373,8.33609295327025,2.32834085400573e-07,9.06070592209752e-06,7.22472870161094
"HDAC11",-1.23091423683265,13.7588170772735,-8.30161941343956,2.46381532366473e-07,9.41834471059571e-06,7.16775041459581
"OSBPL3",1.09814324973419,15.713823051975,8.29462419320377,2.49229804240442e-07,9.48506878881434e-06,7.15616929417769
"CALHM5",-1.09480585173334,15.2421080994079,-8.25827874368283,2.64593535494365e-07,9.89464782081319e-06,7.09589145414911
"AKR1B1",-1.22971058377345,21.2235323029819,-8.21164475334724,2.85771157656813e-07,1.05490031201985e-05,7.01829149246939
"HSPB2",-1.01243268449096,13.442425036606,-8.18127954982722,3.00508016439062e-07,1.09985934016697e-05,6.96760633725759
"VAMP5",-1.24393769109393,15.2822242689594,-8.14953752793792,3.16765683701189e-07,1.1495787533814e-05,6.91449049994502
"FSCN1",-1.05354653302211,19.0388645905098,-8.13925893056355,3.22225293448161e-07,1.16447888611245e-05,6.89726162709948
"PAG1",1.48120144016881,14.4432773479589,8.04218027909555,3.78915287661372e-07,1.33022464864305e-05,6.7338358435685
"KATNAL2",1.0520753541096,18.6338397479461,7.99284235869514,4.11635743464315e-07,1.40495199584784e-05,6.65028936855993
"OGN",-1.24325510220812,22.8080392980923,-7.9748265537926,4.24308545234193e-07,1.43680228250366e-05,6.6196998342134
"GPRC5B",-1.21509233868978,14.3521705279662,-7.960991972471,4.34316694139669e-07,1.4592022993341e-05,6.59617973649703
"PLCB1",-1.0299405304252,15.0720901929446,-7.94783886456301,4.44060837316663e-07,1.47600645210904e-05,6.57379403776588
"SMTN",-1.35455142244794,14.5943452745655,-7.90902992306318,4.74165993914058e-07,1.54481125517228e-05,6.5076063749129
"TMA7",-1.15231361902686,15.0037751048732,-7.9023045594044,4.79596269828588e-07,1.55496959572009e-05,6.49611554025504
"REEP1",1.23820245957474,15.8936578955374,7.90070199799428,4.80899793583938e-07,1.55496959572009e-05,6.49337652132514
