"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007272","GO:0007272","ensheathment of neurons","19/205","106/8169",1.11592206380808e-11,1.54387817527848e-08,1.42955489647836e-08,"MPZ/MBP/PRX/PLLP/DHH/PLP1/EPB41L3/CD9/BCAS1/NFASC/FA2H/SERINC5/EGR2/GJC3/CLDN11/SIRT2/MAG/MYOC/SH3TC2",19
"GO:0008366","GO:0008366","axon ensheathment","19/205","106/8169",1.11592206380808e-11,1.54387817527848e-08,1.42955489647836e-08,"MPZ/MBP/PRX/PLLP/DHH/PLP1/EPB41L3/CD9/BCAS1/NFASC/FA2H/SERINC5/EGR2/GJC3/CLDN11/SIRT2/MAG/MYOC/SH3TC2",19
"GO:0042552","GO:0042552","myelination","18/205","105/8169",8.68233733175092e-11,8.00800913231826e-08,7.41502072473043e-08,"MPZ/MBP/PRX/PLLP/DHH/PLP1/EPB41L3/CD9/BCAS1/NFASC/FA2H/SERINC5/EGR2/GJC3/SIRT2/MAG/MYOC/SH3TC2",18
"GO:0007517","GO:0007517","muscle organ development","17/205","159/8169",4.26468601902994e-07,0.000295009655366396,0.000273164362376813,"SHH/SGCB/CRYAB/IGSF8/SGCE/EPHB1/VAMP5/SMTN/EGR2/SIRT2/CNTF/PKP2/COL3A1/STRA6/DES/TRIM72/ACTA1",17
"GO:0030007","GO:0030007","intracellular potassium ion homeostasis","5/205","10/8169",2.1566068363183e-06,0.00119346622321855,0.00110509074517868,"SLC12A2/ATP1B1/ATP1A3/ATP1A4/ATP4A",5
"GO:0042063","GO:0042063","gliogenesis","18/205","202/8169",2.84952989460873e-06,0.00131410820306373,0.00121679925675046,"DUSP15/PRX/PLP1/CD9/SLC7A5/CNP/SHH/FA2H/HDAC11/EGR2/SIRT2/CNTF/MAG/AZU1/COL3A1/MYOC/SH3TC2/ACAN",18
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","8/205","41/8169",6.4321552302726e-06,0.00216782711516034,0.00200730078112349,"MBP/GLDN/CTNNA3/SIRPA/THY1/PKP2/DSC2/DSG2",8
"GO:0006883","GO:0006883","intracellular sodium ion homeostasis","5/205","12/8169",6.50473372058564e-06,0.00216782711516034,0.00200730078112349,"SLC12A2/ATP1B1/ATP1A3/ATP1A4/ATP4A",5
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","7/205","30/8169",7.05111819170331e-06,0.00216782711516034,0.00200730078112349,"CTNNA3/ATP1B1/ATP1A3/PKP2/DSC2/CASQ2/DSG2",7
"GO:0045123","GO:0045123","cellular extravasation","8/205","44/8169",1.11839430635055e-05,0.00309459704567197,0.00286544393858656,"ADD2/SIRPA/PLCB1/THY1/AZU1/ELANE/PRTN3/CD177",8
