"","gs","gene","Gene.stable.ID","Gene.stable.ID.1","HGNC.symbol","mouse"
"1","Fibroblast","BICC1","ENSMUSG00000014329","ENSG00000122870","BICC1","Bicc1"
"2","Fibroblast","DCN","ENSMUSG00000019929","ENSG00000011465","DCN","Dcn"
"3","Fibroblast","SNED1","ENSMUSG00000047793","ENSG00000162804","SNED1","Sned1"
"4","Fibroblast","EGFR","ENSMUSG00000020122","ENSG00000146648","EGFR","Egfr"
"5","Fibroblast","EBF2","ENSMUSG00000022053","ENSG00000221818","EBF2","Ebf2"
"6","Fibroblast","EBF1","ENSMUSG00000057098","ENSG00000164330","EBF1","Ebf1"
"7","Fibroblast","CNTN4","ENSMUSG00000064293","ENSG00000144619","CNTN4","Cntn4"
"8","Fibroblast","TENM2","ENSMUSG00000049336","ENSG00000145934","TENM2","Tenm2"
"9","Fibroblast","RGS6","ENSMUSG00000021219","ENSG00000182732","RGS6","Rgs6"
"10","Fibroblast","GPC6","ENSMUSG00000058571","ENSG00000183098","GPC6","Gpc6"
"12","Fibroblast","VIT","ENSMUSG00000024076","ENSG00000205221","VIT","Vit"
"13","Fibroblast","FLRT2","ENSMUSG00000047414","ENSG00000185070","FLRT2","Flrt2"
"14","Fibroblast","KCNT2","ENSMUSG00000052726","ENSG00000162687","KCNT2","Kcnt2"
"15","Fibroblast","BNC2","ENSMUSG00000028487","ENSG00000173068","BNC2","Bnc2"
"16","Fibroblast","ACADL","ENSMUSG00000026003","ENSG00000115361","ACADL","Acadl"
"17","Fibroblast","ARHGAP10","ENSMUSG00000037148","ENSG00000071205","ARHGAP10","Arhgap10"
"18","Fibroblast","EYA2","ENSMUSG00000017897","ENSG00000064655","EYA2","Eya2"
"19","Fibroblast","MEOX2","ENSMUSG00000036144","ENSG00000106511","MEOX2","Meox2"
"20","Fibroblast","MTSS1","ENSMUSG00000022353","ENSG00000170873","MTSS1","Mtss1"
"21","Fibroblast","PID1","ENSMUSG00000045658","ENSG00000153823","PID1","Pid1"
"22","Fibroblast","APOD","ENSMUSG00000022548","ENSG00000189058","APOD","Apod"
"23","Fibroblast","PRKG1","ENSMUSG00000052920","ENSG00000185532","PRKG1","Prkg1"
"24","Fibroblast","PDZRN4","ENSMUSG00000036218","ENSG00000165966","PDZRN4","Pdzrn4"
"25","Fibroblast","PAK3","ENSMUSG00000031284","ENSG00000077264","PAK3","Pak3"
"27","Fibroblast","PDZRN3","ENSMUSG00000035357","ENSG00000121440","PDZRN3","Pdzrn3"
"28","Fibroblast","SLC22A3","ENSMUSG00000023828","ENSG00000146477","SLC22A3","Slc22a3"
"29","Fibroblast","BMPR1B","ENSMUSG00000052430","ENSG00000138696","BMPR1B","Bmpr1b"
"30","Fibroblast","FOXP2","ENSMUSG00000029563","ENSG00000128573","FOXP2","Foxp2"
"31","Fibroblast","PLA2R1","ENSMUSG00000054580","ENSG00000153246","PLA2R1","Pla2r1"
"32","Fibroblast","LDB2","ENSMUSG00000039706","ENSG00000169744","LDB2","Ldb2"
"33","Fibroblast","CBLB","ENSMUSG00000022637","ENSG00000114423","CBLB","Cblb"
"34","Fibroblast","GHR","ENSMUSG00000055737","ENSG00000112964","GHR","Ghr"
"35","Fibroblast","SHISA6","ENSMUSG00000053930","ENSG00000188803","SHISA6","Shisa6"
"36","Fibroblast","AFDN","ENSMUSG00000068036","ENSG00000130396","AFDN","Afdn"
"37","Fibroblast","TFPI","ENSMUSG00000027082","ENSG00000003436","TFPI","Tfpi"
"39","Fibroblast","ADGRD1","ENSMUSG00000044017","ENSG00000111452","ADGRD1","Adgrd1"
"40","Fibroblast","PDGFRA","ENSMUSG00000029231","ENSG00000134853","PDGFRA","Pdgfra"
"41","Fibroblast","RUNX1T1","ENSMUSG00000006586","ENSG00000079102","RUNX1T1","Runx1t1"
"42","Fibroblast","KAZN","ENSMUSG00000040606","ENSG00000189337","KAZN","Kazn"
