Chr,Start,End,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Ensembl,gene
chr1,59393285,59393784,"intron (NM_001350794, intron 5 of 14)","intron (NM_001350794, intron 5 of 14)",83502,NM_001350790,55277,ENSG00000172456,FGGY
chr1,109083890,109084389,Intergenic,Intergenic,-6625,NM_020141,56900,ENSG00000215717,TMEM167B
chr1,201435646,201436145,Intergenic,Intergenic,-14165,NM_003281,7135,ENSG00000159173,TNNI1
chr1,184635842,184636341,Intergenic,Intergenic,118767,NM_001319960,80267,ENSG00000116406,EDEM3
chr1,226408056,226408555,promoter-TSS (NM_001618),promoter-TSS (NM_001618),-212,NM_001618,142,ENSG00000143799,PARP1
chr1,63327519,63328018,promoter-TSS (NR_106716),promoter-TSS (NR_106716),-784,NR_106716,102464823,ENSG00000275836,MIR6068
chr1,23403751,23404250,"intron (NM_003196, intron 5 of 10).2",MamRTE1|LINE|RTE-BovB,20748,NM_003196,6920,ENSG00000204219,TCEA3
chr1,231986859,231987358,"intron (NM_001164538, intron 10 of 10)","intron (NM_001164538, intron 10 of 10)",61274,NR_126441,104472714,ENSG00000226758,DISC1-IT1
chr1,91885886,91886385,promoter-TSS (NM_003243),promoter-TSS (NM_003243),16,NM_001195683,7049,ENSG00000069702,TGFBR3
chr1,166858660,166859159,"intron (NM_053053, intron 6 of 7)","intron (NM_053053, intron 6 of 7)",17355,NM_053053,117143,ENSG00000152382,TADA1
chr1,61184103,61184602,"intron (NM_001134673, intron 2 of 10)","intron (NM_001134673, intron 2 of 10)",69166,NR_104180,645030,ENSG00000237853,NFIA-AS1
chr1,157045664,157046163,promoter-TSS (NM_198236),promoter-TSS (NM_198236),-171,NM_198236,9826,ENSG00000132694,ARHGEF11
chr1,173824282,173824781,promoter-TSS (NM_001365213),promoter-TSS (NM_001365213),108,NM_033319,91687,ENSG00000120334,CENPL
chr1,53024991,53025490,"intron (NM_001007100, intron 1 of 4)",L2a|LINE|L2,10302,NM_001007250,6342,ENSG00000116171,SCP2
chr1,59730731,59731230,"intron (NM_001350790, intron 15 of 16)",MIRb|SINE|MIR,2316,NR_039861,100616409,ENSG00000266150,MIR4711
chr1,155609881,155610380,promoter-TSS (NM_001350786),promoter-TSS (NM_001350786),-40,NM_001350788,55154,ENSG00000125459,MSTO1
chr1,6701611,6702110,promoter-TSS (NM_018198),promoter-TSS (NM_018198),-44,NM_018198,55735,ENSG00000007923,DNAJC11
chr1,150697058,150697557,promoter-TSS (NM_018178),promoter-TSS (NM_018178),-153,NM_018178,55204,ENSG00000143457,GOLPH3L
chr1,224726747,224727246,"intron (NR_136287, intron 3 of 4)","intron (NR_136287, intron 3 of 4)",110679,NR_136287,149111,ENSG00000143786,CNIH3
