"","gs","gene","Gene.stable.ID","Gene.stable.ID.1","HGNC.symbol","mouse"
"1","Calca+Bmpr1b","SCGN","ENSMUSG00000021337","ENSG00000079689","SCGN","Scgn"
"2","Calca+Bmpr1b","VAT1L","ENSMUSG00000046844","ENSG00000171724","VAT1L","Vat1l"
"3","Calca+Bmpr1b","TSPAN18","ENSMUSG00000027217","ENSG00000157570","TSPAN18","Tspan18"
"4","Calca+Bmpr1b","NTRK1","ENSMUSG00000028072","ENSG00000198400","NTRK1","Ntrk1"
"5","Calca+Bmpr1b","KCNQ5","ENSMUSG00000028033","ENSG00000185760","KCNQ5","Kcnq5"
"6","Calca+Bmpr1b","SERTM1","ENSMUSG00000056306","ENSG00000180440","SERTM1","Sertm1"
"7","Calca+Bmpr1b","KIT","ENSMUSG00000005672","ENSG00000157404","KIT","Kit"
"8","Calca+Bmpr1b","NGFR","ENSMUSG00000000120","ENSG00000064300","NGFR","Ngfr"
"9","Calca+Bmpr1b","FXYD7","ENSMUSG00000036578","ENSG00000221946","FXYD7","Fxyd7"
"10","Calca+Bmpr1b","PIEZO2","ENSMUSG00000041482","ENSG00000154864","PIEZO2","Piezo2"
"11","Calca+Bmpr1b","PTGER3","ENSMUSG00000040016","ENSG00000050628","PTGER3","Ptger3"
"12","Calca+Bmpr1b","TMC3","ENSMUSG00000038540","ENSG00000188869","TMC3","Tmc3"
"13","Calca+Bmpr1b","PTGIR","ENSMUSG00000043017","ENSG00000160013","PTGIR","Ptgir"
"14","Calca+Bmpr1b","ATP1A1","ENSMUSG00000033161","ENSG00000163399","ATP1A1","Atp1a1"
"15","Calca+Bmpr1b","NMB","ENSMUSG00000025723","ENSG00000197696","NMB","Nmb"
"16","Calca+Bmpr1b","ANO5","ENSMUSG00000055489","ENSG00000171714","ANO5","Ano5"
"17","Calca+Bmpr1b","TMEM273","ENSMUSG00000041707","ENSG00000204161","TMEM273","Tmem273"
"18","Calca+Bmpr1b","DPY19L1","ENSMUSG00000043067","ENSG00000173852","DPY19L1","Dpy19l1"
"19","Calca+Bmpr1b","DOC2A","ENSMUSG00000052301","ENSG00000149927","DOC2A","Doc2a"
"20","Calca+Bmpr1b","LMO2","ENSMUSG00000032698","ENSG00000135363","LMO2","Lmo2"
"21","Calca+Bmpr1b","HS3ST4","ENSMUSG00000078591","ENSG00000182601","HS3ST4","Hs3st4"
"22","Calca+Bmpr1b","HGF","ENSMUSG00000028864","ENSG00000019991","HGF","Hgf"
"23","Calca+Bmpr1b","NPTX1","ENSMUSG00000025582","ENSG00000171246","NPTX1","Nptx1"
"24","Calca+Bmpr1b","SERPINE2","ENSMUSG00000026249","ENSG00000135919","SERPINE2","Serpine2"
"25","Calca+Bmpr1b","OTOF","ENSMUSG00000062372","ENSG00000115155","OTOF","Otof"
"26","Calca+Bmpr1b","GSG1L","ENSMUSG00000046182","ENSG00000169181","GSG1L","Gsg1l"
"28","Calca+Bmpr1b","KCNT2","ENSMUSG00000052726","ENSG00000162687","KCNT2","Kcnt2"
"29","Calca+Bmpr1b","CPNE6","ENSMUSG00000022212","ENSG00000100884","CPNE6","Cpne6"
"30","Calca+Bmpr1b","SPRY4","ENSMUSG00000024427","ENSG00000187678","SPRY4","Spry4"
"31","Calca+Bmpr1b","SYT6","ENSMUSG00000027849","ENSG00000134207","SYT6","Syt6"
"32","Calca+Bmpr1b","SLC7A14","ENSMUSG00000069072","ENSG00000013293","SLC7A14","Slc7a14"
"33","Calca+Bmpr1b","PLEKHG5","ENSMUSG00000039713","ENSG00000171680","PLEKHG5","Plekhg5"
"34","Calca+Bmpr1b","P2RY6","ENSMUSG00000048779","ENSG00000171631","P2RY6","P2ry6"
"35","Calca+Bmpr1b","RNF112","ENSMUSG00000010086","ENSG00000128482","RNF112","Rnf112"
"36","Calca+Bmpr1b","UST","ENSMUSG00000047712","ENSG00000111962","UST","Ust"
"37","Calca+Bmpr1b","ST8SIA1","ENSMUSG00000030283","ENSG00000111728","ST8SIA1","St8sia1"
"38","Calca+Bmpr1b","BCL11A","ENSMUSG00000000861","ENSG00000119866","BCL11A","Bcl11a"
"39","Calca+Bmpr1b","FABP3","ENSMUSG00000028773","ENSG00000121769","FABP3","Fabp3"
"40","Calca+Bmpr1b","FGF12","ENSMUSG00000022523","ENSG00000114279","FGF12","Fgf12"
"41","Calca+Bmpr1b","AGT","ENSMUSG00000031980","ENSG00000135744","AGT","Agt"
"42","Calca+Bmpr1b","EBF2","ENSMUSG00000022053","ENSG00000221818","EBF2","Ebf2"
"43","Calca+Bmpr1b","TM9SF2","ENSMUSG00000025544","ENSG00000125304","TM9SF2","Tm9sf2"
"44","Calca+Bmpr1b","SLC16A6","ENSMUSG00000041920","ENSG00000108932","SLC16A6","Slc16a6"
"45","Calca+Bmpr1b","ITGA7","ENSMUSG00000025348","ENSG00000135424","ITGA7","Itga7"
"46","Calca+Bmpr1b","CDH18","ENSMUSG00000040420","ENSG00000145526","CDH18","Cdh18"
"47","Calca+Bmpr1b","MRAP2","ENSMUSG00000042761","ENSG00000135324","MRAP2","Mrap2"
"48","Calca+Bmpr1b","LAMA4","ENSMUSG00000019846","ENSG00000112769","LAMA4","Lama4"
"49","Calca+Bmpr1b","DOK6","ENSMUSG00000073514","ENSG00000206052","DOK6","Dok6"
"50","Calca+Bmpr1b","FBXO2","ENSMUSG00000041556","ENSG00000116661","FBXO2","Fbxo2"
"51","Calca+Bmpr1b","BCL11B","ENSMUSG00000048251","ENSG00000127152","BCL11B","Bcl11b"
"52","Calca+Bmpr1b","EPHA5","ENSMUSG00000029245","ENSG00000145242","EPHA5","Epha5"
"53","Calca+Bmpr1b","KCTD8","ENSMUSG00000037653","ENSG00000183783","KCTD8","Kctd8"
"54","Calca+Bmpr1b","TSPAN33","ENSMUSG00000001763","ENSG00000158457","TSPAN33","Tspan33"
"55","Calca+Bmpr1b","GAP43","ENSMUSG00000047261","ENSG00000172020","GAP43","Gap43"
"56","Calca+Bmpr1b","TMEM176B","ENSMUSG00000029810","ENSG00000106565","TMEM176B","Tmem176b"
"58","Calca+Bmpr1b","NFIB","ENSMUSG00000008575","ENSG00000147862","NFIB","Nfib"
"59","Calca+Bmpr1b","KCNG1","ENSMUSG00000074575","ENSG00000026559","KCNG1","Kcng1"
"60","Calca+Bmpr1b","POU4F3","ENSMUSG00000024497","ENSG00000091010","POU4F3","Pou4f3"
"61","Calca+Bmpr1b","BMP3","ENSMUSG00000029335","ENSG00000152785","BMP3","Bmp3"
"62","Calca+Bmpr1b","ADRA2A","ENSMUSG00000033717","ENSG00000150594","ADRA2A","Adra2a"
"63","Calca+Bmpr1b","C14orf132","ENSMUSG00000094910","ENSG00000227051","C14orf132","D430019H16Rik"
"64","Calca+Bmpr1b","WNT11","ENSMUSG00000015957","ENSG00000085741","WNT11","Wnt11"
"65","Calca+Bmpr1b","KCNQ3","ENSMUSG00000056258","ENSG00000184156","KCNQ3","Kcnq3"
"66","Calca+Bmpr1b","GLDN","ENSMUSG00000046167","ENSG00000186417","GLDN","Gldn"
"67","Calca+Bmpr1b","DAGLA","ENSMUSG00000035735","ENSG00000134780","DAGLA","Dagla"
"68","Calca+Bmpr1b","NPSR1","ENSMUSG00000043659","ENSG00000187258","NPSR1","Npsr1"
"69","Calca+Bmpr1b","TSPAN2","ENSMUSG00000027858","ENSG00000134198","TSPAN2","Tspan2"
"70","Calca+Bmpr1b","SYT2","ENSMUSG00000026452","ENSG00000143858","SYT2","Syt2"
"71","Calca+Bmpr1b","ASS1","ENSMUSG00000076441","ENSG00000130707","ASS1","Ass1"
"72","Calca+Bmpr1b","GPR158","ENSMUSG00000045967","ENSG00000151025","GPR158","Gpr158"
"73","Calca+Bmpr1b","KCNA4","ENSMUSG00000042604","ENSG00000182255","KCNA4","Kcna4"
"74","Calca+Bmpr1b","BASP1","ENSMUSG00000045763","ENSG00000176788","BASP1","Basp1"
"75","Calca+Bmpr1b","EML1","ENSMUSG00000058070","ENSG00000066629","EML1","Eml1"
"76","Calca+Bmpr1b","NOL4","ENSMUSG00000041923","ENSG00000101746","NOL4","Nol4"
"77","Calca+Bmpr1b","GPRIN3","ENSMUSG00000045441","ENSG00000185477","GPRIN3","Gprin3"
"78","Calca+Bmpr1b","GPR162","ENSMUSG00000038390","ENSG00000250510","GPR162","Gpr162"
"79","Calca+Bmpr1b","PAPPA","ENSMUSG00000028370","ENSG00000182752","PAPPA","Pappa"
"80","Calca+Bmpr1b","STX1A","ENSMUSG00000007207","ENSG00000106089","STX1A","Stx1a"
"82","Calca+Bmpr1b","CST3","ENSMUSG00000027447","ENSG00000101439","CST3","Cst3"
"83","Calca+Bmpr1b","OPCML","ENSMUSG00000062257","ENSG00000183715","OPCML","Opcml"
"84","Calca+Bmpr1b","C3orf80","ENSMUSG00000046999","ENSG00000180044","C3orf80","1110032F04Rik"
"85","Calca+Bmpr1b","NRP2","ENSMUSG00000025969","ENSG00000118257","NRP2","Nrp2"
"86","Calca+Bmpr1b","ARID5B","ENSMUSG00000019947","ENSG00000150347","ARID5B","Arid5b"
"88","Calca+Bmpr1b","NEDD4L","ENSMUSG00000024589","ENSG00000049759","NEDD4L","Nedd4l"
"89","Calca+Bmpr1b","BICC1","ENSMUSG00000014329","ENSG00000122870","BICC1","Bicc1"
"90","Calca+Bmpr1b","TCIM","ENSMUSG00000056313","ENSG00000176907","TCIM","Tcim"
"91","Calca+Bmpr1b","NDFIP2","ENSMUSG00000053253","ENSG00000102471","NDFIP2","Ndfip2"
"92","Calca+Bmpr1b","QPRT","ENSMUSG00000030674","ENSG00000103485","QPRT","Qprt"
"93","Calca+Bmpr1b","COL12A1","ENSMUSG00000032332","ENSG00000111799","COL12A1","Col12a1"
"94","Calca+Bmpr1b","EMC3","ENSMUSG00000030286","ENSG00000125037","EMC3","Emc3"
"96","Calca+Bmpr1b","SYTL2","ENSMUSG00000030616","ENSG00000137501","SYTL2","Sytl2"
"97","Calca+Bmpr1b","MMP25","ENSMUSG00000023903","ENSG00000008516","MMP25","Mmp25"
"98","Calca+Bmpr1b","PFKFB3","ENSMUSG00000026773","ENSG00000170525","PFKFB3","Pfkfb3"
"99","Calca+Bmpr1b","LXN","ENSMUSG00000047557","ENSG00000079257","LXN","Lxn"
"100","Calca+Bmpr1b","YWHAH","ENSMUSG00000018965","ENSG00000128245","YWHAH","Ywhah"
"101","Calca+Bmpr1b","NLGN1","ENSMUSG00000063887","ENSG00000169760","NLGN1","Nlgn1"
"102","Calca+Bmpr1b","PCSK6","ENSMUSG00000030513","ENSG00000140479","PCSK6","Pcsk6"
"103","Calca+Bmpr1b","ZNF511-PRAP1","ENSMUSG00000025467","ENSG00000283496","ZNF511-PRAP1","Prap1"
"104","Calca+Bmpr1b","PRAP1","ENSMUSG00000025467","ENSG00000165828","PRAP1","Prap1"
"106","Calca+Bmpr1b","SMIM3","ENSMUSG00000038059","ENSG00000256235","SMIM3","Smim3"
"107","Calca+Bmpr1b","SCN7A","ENSMUSG00000034810","ENSG00000136546","SCN7A","Scn7a"
"108","Calca+Bmpr1b","RBFOX3","ENSMUSG00000025576","ENSG00000167281","RBFOX3","Rbfox3"
"109","Calca+Bmpr1b","NRP1","ENSMUSG00000025810","ENSG00000099250","NRP1","Nrp1"
"110","Calca+Bmpr1b","LGI3","ENSMUSG00000033595","ENSG00000168481","LGI3","Lgi3"
"111","Calca+Bmpr1b","PRDX1","ENSMUSG00000028691","ENSG00000117450","PRDX1","Prdx1"
"113","Calca+Bmpr1b","SARM1","ENSMUSG00000050132","ENSG00000004139","SARM1","Sarm1"
"114","Calca+Bmpr1b","MMP15","ENSMUSG00000031790","ENSG00000102996","MMP15","Mmp15"
"115","Calca+Bmpr1b","CAPN5","ENSMUSG00000035547","ENSG00000149260","CAPN5","Capn5"
"116","Calca+Bmpr1b","CALCA","ENSMUSG00000030669","ENSG00000110680","CALCA","Calca"
"117","Calca+Bmpr1b","VDAC3","ENSMUSG00000008892","ENSG00000078668","VDAC3","Vdac3"
"118","Calca+Bmpr1b","DGKK","ENSMUSG00000062393","ENSG00000274588","DGKK","Dgkk"
"119","Calca+Bmpr1b","EBF4","ENSMUSG00000053552","ENSG00000088881","EBF4","Ebf4"
"120","Calca+Bmpr1b","SYNJ2","ENSMUSG00000023805","ENSG00000078269","SYNJ2","Synj2"
"122","Calca+Bmpr1b","NT5DC2","ENSMUSG00000071547","ENSG00000168268","NT5DC2","Nt5dc2"
"123","Calca+Bmpr1b","SCG2","ENSMUSG00000050711","ENSG00000171951","SCG2","Scg2"
"124","Calca+Bmpr1b","FAM149A","ENSMUSG00000070044","ENSG00000109794","FAM149A","Fam149a"
"125","Calca+Bmpr1b","PPP1R16B","ENSMUSG00000037754","ENSG00000101445","PPP1R16B","Ppp1r16b"
"127","Calca+Bmpr1b","BCAM","ENSMUSG00000002980","ENSG00000187244","BCAM","Bcam"
"128","Calca+Bmpr1b","DYNC1I1","ENSMUSG00000029757","ENSG00000158560","DYNC1I1","Dync1i1"
"129","Calca+Bmpr1b","CAMK1G","ENSMUSG00000016179","ENSG00000008118","CAMK1G","Camk1g"
"130","Calca+Bmpr1b","PLD1","ENSMUSG00000027695","ENSG00000075651","PLD1","Pld1"
"131","Calca+Bmpr1b","ALDH2","ENSMUSG00000029455","ENSG00000111275","ALDH2","Aldh2"
"132","Calca+Bmpr1b","LPAR3","ENSMUSG00000036832","ENSG00000171517","LPAR3","Lpar3"
"133","Calca+Bmpr1b","PLK2","ENSMUSG00000021701","ENSG00000145632","PLK2","Plk2"
"134","Calca+Bmpr1b","CNN3","ENSMUSG00000053931","ENSG00000117519","CNN3","Cnn3"
"135","Calca+Bmpr1b","ITM2B","ENSMUSG00000022108","ENSG00000136156","ITM2B","Itm2b"
"136","Calca+Bmpr1b","CLTB","ENSMUSG00000047547","ENSG00000175416","CLTB","Cltb"
"137","Calca+Bmpr1b","VEGFA","ENSMUSG00000023951","ENSG00000112715","VEGFA","Vegfa"
"138","Calca+Bmpr1b","CBLN4","ENSMUSG00000067578","ENSG00000054803","CBLN4","Cbln4"
"139","Calca+Bmpr1b","UHMK1","ENSMUSG00000026667","ENSG00000152332","UHMK1","Uhmk1"
"140","Calca+Bmpr1b","FERMT2","ENSMUSG00000037712","ENSG00000073712","FERMT2","Fermt2"
"141","Calca+Bmpr1b","GPM6A","ENSMUSG00000031517","ENSG00000150625","GPM6A","Gpm6a"
"142","Calca+Bmpr1b","CD81","ENSMUSG00000037706","ENSG00000110651","CD81","Cd81"
"143","Calca+Bmpr1b","TNS1","ENSMUSG00000055322","ENSG00000079308","TNS1","Tns1"
"144","Calca+Bmpr1b","ADAM11","ENSMUSG00000020926","ENSG00000073670","ADAM11","Adam11"
"146","Calca+Bmpr1b","ONECUT2","ENSMUSG00000045991","ENSG00000119547","ONECUT2","Onecut2"
"147","Calca+Bmpr1b","MGST3","ENSMUSG00000026688","ENSG00000143198","MGST3","Mgst3"
"148","Calca+Bmpr1b","IL33","ENSMUSG00000024810","ENSG00000137033","IL33","Il33"
"149","Calca+Bmpr1b","GRM4","ENSMUSG00000063239","ENSG00000124493","GRM4","Grm4"
"150","Calca+Bmpr1b","ATP13A2","ENSMUSG00000036622","ENSG00000159363","ATP13A2","Atp13a2"
"151","Calca+Bmpr1b","ANKRD29","ENSMUSG00000057766","ENSG00000154065","ANKRD29","Ankrd29"
"152","Calca+Bmpr1b","VSTM2A","ENSMUSG00000048834","ENSG00000170419","VSTM2A","Vstm2a"
"153","Calca+Bmpr1b","GNG3","ENSMUSG00000071658","ENSG00000162188","GNG3","Gng3"
"155","Calca+Bmpr1b","ARPP21","ENSMUSG00000032503","ENSG00000172995","ARPP21","Arpp21"
"156","Calca+Bmpr1b","CAMK1D","ENSMUSG00000039145","ENSG00000183049","CAMK1D","Camk1d"
"157","Calca+Bmpr1b","FGF5","ENSMUSG00000029337","ENSG00000138675","FGF5","Fgf5"
"158","Calca+Bmpr1b","ETV5","ENSMUSG00000013089","ENSG00000244405","ETV5","Etv5"
